Training for 378151 steps ...
     78/378151: episode: 1, duration: 0.190s, episode steps:  78, steps per second: 410, episode reward: 23.793, mean reward:  0.305 [-0.005,  0.470], mean action: 15.397 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   2606/378151: episode: 17, duration: 1.540s, episode steps: 161, steps per second: 105, episode reward: 64.191, mean reward:  0.399 [-0.005,  0.537], mean action: 15.217 [0.000, 31.000],  loss: 0.127743, mae: 7.498966, mean_q: 8.253242
   2873/378151: episode: 18, duration: 2.530s, episode steps: 267, steps per second: 106, episode reward: 129.761, mean reward:  0.486 [ 0.087,  0.656], mean action: 15.011 [0.000, 31.000],  loss: 0.137281, mae: 8.534921, mean_q: 9.369031
   2947/378151: episode: 19, duration: 0.744s, episode steps:  74, steps per second:  99, episode reward: 16.580, mean reward:  0.224 [ 0.069,  0.325], mean action: 16.500 [0.000, 31.000],  loss: 0.173759, mae: 9.384396, mean_q: 10.300102
   3029/378151: episode: 20, duration: 0.765s, episode steps:  82, steps per second: 107, episode reward: 22.004, mean reward:  0.268 [ 0.087,  0.402], mean action: 17.841 [1.000, 31.000],  loss: 0.177721, mae: 9.807082, mean_q: 10.779850
   3281/378151: episode: 21, duration: 2.447s, episode steps: 252, steps per second: 103, episode reward: 89.900, mean reward:  0.357 [-0.005,  0.469], mean action: 14.687 [0.000, 31.000],  loss: 0.191914, mae: 10.750389, mean_q: 11.731318
   3550/378151: episode: 22, duration: 2.544s, episode steps: 269, steps per second: 106, episode reward: 113.057, mean reward:  0.420 [-0.005,  0.613], mean action: 14.242 [0.000, 31.000],  loss: 0.215689, mae: 12.272776, mean_q: 13.444194
   3817/378151: episode: 23, duration: 2.586s, episode steps: 267, steps per second: 103, episode reward: 119.340, mean reward:  0.447 [-0.005,  0.604], mean action: 14.906 [0.000, 31.000],  loss: 0.331704, mae: 13.994971, mean_q: 15.368354
   3966/378151: episode: 24, duration: 1.432s, episode steps: 149, steps per second: 104, episode reward: 36.474, mean reward:  0.245 [-0.005,  0.311], mean action: 15.107 [0.000, 31.000],  loss: 0.583962, mae: 15.365650, mean_q: 16.860756
   4124/378151: episode: 25, duration: 1.519s, episode steps: 158, steps per second: 104, episode reward: 36.274, mean reward:  0.230 [-0.005,  0.403], mean action: 15.044 [0.000, 31.000],  loss: 0.681040, mae: 16.530794, mean_q: 18.142458
   4221/378151: episode: 26, duration: 0.913s, episode steps:  97, steps per second: 106, episode reward: 22.323, mean reward:  0.230 [ 0.087,  0.309], mean action: 17.186 [0.000, 31.000],  loss: 0.743917, mae: 17.485422, mean_q: 19.183947
   4251/378151: episode: 27, duration: 0.343s, episode steps:  30, steps per second:  87, episode reward:  4.347, mean reward:  0.145 [-0.005,  0.308], mean action: 13.567 [0.000, 30.000],  loss: 0.616533, mae: 17.909834, mean_q: 19.653015
   4353/378151: episode: 28, duration: 0.955s, episode steps: 102, steps per second: 107, episode reward: 28.461, mean reward:  0.279 [ 0.118,  0.360], mean action: 14.098 [0.000, 31.000],  loss: 0.888537, mae: 18.282263, mean_q: 20.121532
   4515/378151: episode: 29, duration: 1.565s, episode steps: 162, steps per second: 104, episode reward: 78.133, mean reward:  0.482 [ 0.046,  0.641], mean action: 15.284 [0.000, 31.000],  loss: 0.917410, mae: 19.247074, mean_q: 21.178125
   4608/378151: episode: 30, duration: 0.932s, episode steps:  93, steps per second: 100, episode reward: 28.437, mean reward:  0.306 [-0.005,  0.457], mean action: 16.065 [0.000, 31.000],  loss: 0.911385, mae: 20.323566, mean_q: 22.299395
   4702/378151: episode: 31, duration: 0.884s, episode steps:  94, steps per second: 106, episode reward: 19.613, mean reward:  0.209 [-0.005,  0.316], mean action: 14.798 [0.000, 31.000],  loss: 1.052345, mae: 21.091980, mean_q: 23.076059
   4786/378151: episode: 32, duration: 0.828s, episode steps:  84, steps per second: 101, episode reward: 29.360, mean reward:  0.350 [-0.005,  0.478], mean action: 16.286 [0.000, 31.000],  loss: 1.114956, mae: 21.674082, mean_q: 23.682583
   5053/378151: episode: 33, duration: 2.530s, episode steps: 267, steps per second: 106, episode reward: 139.580, mean reward:  0.523 [ 0.116,  0.638], mean action: 15.213 [0.000, 31.000],  loss: 0.853717, mae: 23.008839, mean_q: 25.037798
   5206/378151: episode: 34, duration: 1.471s, episode steps: 153, steps per second: 104, episode reward: 61.928, mean reward:  0.405 [ 0.087,  0.485], mean action: 16.170 [0.000, 31.000],  loss: 1.026366, mae: 24.425785, mean_q: 26.542809
   5473/378151: episode: 35, duration: 2.587s, episode steps: 267, steps per second: 103, episode reward: 99.558, mean reward:  0.373 [ 0.133,  0.493], mean action: 16.161 [0.000, 31.000],  loss: 1.143502, mae: 26.035500, mean_q: 28.295595
   5740/378151: episode: 36, duration: 2.500s, episode steps: 267, steps per second: 107, episode reward: 92.857, mean reward:  0.348 [-0.005,  0.449], mean action: 15.659 [0.000, 31.000],  loss: 1.385469, mae: 28.240807, mean_q: 30.663771
   5803/378151: episode: 37, duration: 0.642s, episode steps:  63, steps per second:  98, episode reward: 20.235, mean reward:  0.321 [ 0.087,  0.404], mean action: 14.079 [1.000, 31.000],  loss: 2.698912, mae: 29.620649, mean_q: 32.200855
   6070/378151: episode: 38, duration: 2.541s, episode steps: 267, steps per second: 105, episode reward: 89.842, mean reward:  0.336 [-0.005,  0.432], mean action: 13.442 [0.000, 31.000],  loss: 1.575449, mae: 31.106178, mean_q: 33.724220
   6112/378151: episode: 39, duration: 0.448s, episode steps:  42, steps per second:  94, episode reward:  4.350, mean reward:  0.104 [-0.005,  0.312], mean action: 15.857 [0.000, 31.000],  loss: 1.919612, mae: 32.532906, mean_q: 35.261856
   6379/378151: episode: 40, duration: 2.521s, episode steps: 267, steps per second: 106, episode reward: 113.536, mean reward:  0.425 [-0.005,  0.636], mean action: 14.910 [0.000, 31.000],  loss: 2.232915, mae: 33.693871, mean_q: 36.375572
   6649/378151: episode: 41, duration: 2.601s, episode steps: 270, steps per second: 104, episode reward: 144.953, mean reward:  0.537 [ 0.087,  0.650], mean action: 15.593 [0.000, 31.000],  loss: 2.239771, mae: 35.571102, mean_q: 38.417461
   6916/378151: episode: 42, duration: 2.509s, episode steps: 267, steps per second: 106, episode reward: 150.232, mean reward:  0.563 [ 0.133,  0.644], mean action: 15.775 [0.000, 31.000],  loss: 2.063316, mae: 37.667412, mean_q: 40.619579
   7183/378151: episode: 43, duration: 2.566s, episode steps: 267, steps per second: 104, episode reward: 115.472, mean reward:  0.432 [ 0.137,  0.493], mean action: 15.464 [0.000, 31.000],  loss: 3.262357, mae: 39.803589, mean_q: 42.967342
   7450/378151: episode: 44, duration: 2.521s, episode steps: 267, steps per second: 106, episode reward: 97.923, mean reward:  0.367 [-0.005,  0.515], mean action: 15.483 [0.000, 31.000],  loss: 3.143448, mae: 41.474575, mean_q: 44.690548
   7507/378151: episode: 45, duration: 0.613s, episode steps:  57, steps per second:  93, episode reward: 15.133, mean reward:  0.265 [ 0.087,  0.343], mean action: 14.386 [0.000, 31.000],  loss: 3.238338, mae: 42.484348, mean_q: 45.803391
   7774/378151: episode: 46, duration: 2.539s, episode steps: 267, steps per second: 105, episode reward: 114.962, mean reward:  0.431 [ 0.133,  0.583], mean action: 16.187 [0.000, 31.000],  loss: 3.660356, mae: 43.532135, mean_q: 46.889225
   8041/378151: episode: 47, duration: 2.584s, episode steps: 267, steps per second: 103, episode reward: 132.318, mean reward:  0.496 [ 0.087,  0.635], mean action: 16.378 [0.000, 31.000],  loss: 3.448025, mae: 45.431580, mean_q: 48.875393
   8308/378151: episode: 48, duration: 2.541s, episode steps: 267, steps per second: 105, episode reward: 81.655, mean reward:  0.306 [-0.005,  0.482], mean action: 14.704 [0.000, 31.000],  loss: 3.863864, mae: 47.178154, mean_q: 50.612514
   8411/378151: episode: 49, duration: 0.998s, episode steps: 103, steps per second: 103, episode reward: 44.924, mean reward:  0.436 [-0.005,  0.484], mean action: 13.854 [0.000, 31.000],  loss: 3.888143, mae: 48.392742, mean_q: 51.853569
   8489/378151: episode: 50, duration: 0.737s, episode steps:  78, steps per second: 106, episode reward: 28.694, mean reward:  0.368 [ 0.087,  0.496], mean action: 14.679 [0.000, 31.000],  loss: 2.661626, mae: 49.025257, mean_q: 52.592922
   8610/378151: episode: 51, duration: 1.189s, episode steps: 121, steps per second: 102, episode reward: 37.251, mean reward:  0.308 [ 0.131,  0.369], mean action: 15.413 [0.000, 30.000],  loss: 5.245539, mae: 49.584873, mean_q: 53.266586
   8877/378151: episode: 52, duration: 2.555s, episode steps: 267, steps per second: 105, episode reward: 95.834, mean reward:  0.359 [-0.005,  0.446], mean action: 15.543 [0.000, 31.000],  loss: 4.855919, mae: 50.963463, mean_q: 54.758953
   8968/378151: episode: 53, duration: 0.860s, episode steps:  91, steps per second: 106, episode reward: 34.270, mean reward:  0.377 [ 0.087,  0.469], mean action: 14.033 [0.000, 31.000],  loss: 6.147827, mae: 52.261375, mean_q: 56.214035
   9235/378151: episode: 54, duration: 2.604s, episode steps: 267, steps per second: 103, episode reward: 119.248, mean reward:  0.447 [-0.005,  0.578], mean action: 15.888 [0.000, 31.000],  loss: 4.823775, mae: 53.454060, mean_q: 57.300598
   9426/378151: episode: 55, duration: 1.826s, episode steps: 191, steps per second: 105, episode reward: 41.385, mean reward:  0.217 [-0.005,  0.351], mean action: 14.974 [0.000, 31.000],  loss: 6.274627, mae: 54.582569, mean_q: 58.470467
   9671/378151: episode: 56, duration: 2.333s, episode steps: 245, steps per second: 105, episode reward: 96.134, mean reward:  0.392 [ 0.087,  0.473], mean action: 17.767 [0.000, 31.000],  loss: 3.694524, mae: 56.163109, mean_q: 60.255165
   9938/378151: episode: 57, duration: 2.570s, episode steps: 267, steps per second: 104, episode reward: 90.573, mean reward:  0.339 [ 0.087,  0.415], mean action: 17.064 [0.000, 31.000],  loss: 6.832160, mae: 58.188137, mean_q: 62.450493
   9982/378151: episode: 58, duration: 0.422s, episode steps:  44, steps per second: 104, episode reward:  8.615, mean reward:  0.196 [-0.005,  0.319], mean action: 14.591 [0.000, 31.000],  loss: 10.217116, mae: 59.203869, mean_q: 63.505299
  10249/378151: episode: 59, duration: 2.580s, episode steps: 267, steps per second: 103, episode reward: 96.249, mean reward:  0.360 [-0.005,  0.430], mean action: 15.513 [0.000, 31.000],  loss: 7.493467, mae: 60.306458, mean_q: 64.727242
  10516/378151: episode: 60, duration: 2.524s, episode steps: 267, steps per second: 106, episode reward: 94.380, mean reward:  0.353 [ 0.017,  0.472], mean action: 14.708 [0.000, 31.000],  loss: 6.777370, mae: 62.306427, mean_q: 66.771240
  10696/378151: episode: 61, duration: 1.815s, episode steps: 180, steps per second:  99, episode reward: 48.290, mean reward:  0.268 [-0.005,  0.471], mean action: 15.711 [0.000, 31.000],  loss: 8.812761, mae: 63.180668, mean_q: 67.781197
  10958/378151: episode: 62, duration: 2.479s, episode steps: 262, steps per second: 106, episode reward: 131.268, mean reward:  0.501 [ 0.137,  0.651], mean action: 15.954 [0.000, 31.000],  loss: 8.517879, mae: 64.602051, mean_q: 69.236107
  11169/378151: episode: 63, duration: 2.056s, episode steps: 211, steps per second: 103, episode reward: 54.701, mean reward:  0.259 [-0.005,  0.473], mean action: 15.929 [0.000, 31.000],  loss: 7.397521, mae: 65.885086, mean_q: 70.587433
  11436/378151: episode: 64, duration: 2.594s, episode steps: 267, steps per second: 103, episode reward: 44.848, mean reward:  0.168 [-0.005,  0.292], mean action: 16.131 [0.000, 31.000],  loss: 8.700911, mae: 67.222687, mean_q: 72.195679
  11703/378151: episode: 65, duration: 2.568s, episode steps: 267, steps per second: 104, episode reward: 75.719, mean reward:  0.284 [-0.005,  0.438], mean action: 14.644 [0.000, 31.000],  loss: 6.116651, mae: 68.923897, mean_q: 73.759567
  11970/378151: episode: 66, duration: 2.599s, episode steps: 267, steps per second: 103, episode reward: 125.462, mean reward:  0.470 [ 0.017,  0.615], mean action: 16.022 [0.000, 31.000],  loss: 7.249004, mae: 70.505905, mean_q: 75.403397
  12237/378151: episode: 67, duration: 2.597s, episode steps: 267, steps per second: 103, episode reward: 119.252, mean reward:  0.447 [-0.005,  0.646], mean action: 16.075 [0.000, 31.000],  loss: 7.841508, mae: 71.813522, mean_q: 76.870552
  12369/378151: episode: 68, duration: 1.239s, episode steps: 132, steps per second: 107, episode reward: 48.915, mean reward:  0.371 [ 0.116,  0.501], mean action: 13.417 [0.000, 31.000],  loss: 9.337218, mae: 72.442146, mean_q: 77.653816
  12636/378151: episode: 69, duration: 2.612s, episode steps: 267, steps per second: 102, episode reward: 90.366, mean reward:  0.338 [-0.005,  0.459], mean action: 16.831 [0.000, 31.000],  loss: 12.332194, mae: 73.596100, mean_q: 78.797897
  12903/378151: episode: 70, duration: 2.535s, episode steps: 267, steps per second: 105, episode reward: 127.579, mean reward:  0.478 [-0.005,  0.651], mean action: 15.453 [0.000, 31.000],  loss: 9.532676, mae: 75.191048, mean_q: 80.521286
  13170/378151: episode: 71, duration: 2.611s, episode steps: 267, steps per second: 102, episode reward: 119.591, mean reward:  0.448 [-0.005,  0.640], mean action: 16.622 [0.000, 31.000],  loss: 12.312038, mae: 76.518021, mean_q: 81.952385
  13437/378151: episode: 72, duration: 2.583s, episode steps: 267, steps per second: 103, episode reward: 45.448, mean reward:  0.170 [-0.005,  0.297], mean action: 16.300 [0.000, 31.000],  loss: 9.584640, mae: 77.805885, mean_q: 83.246696
  13648/378151: episode: 73, duration: 2.047s, episode steps: 211, steps per second: 103, episode reward: 102.294, mean reward:  0.485 [-0.005,  0.645], mean action: 15.265 [0.000, 31.000],  loss: 14.142220, mae: 79.159210, mean_q: 84.814110
  13681/378151: episode: 74, duration: 0.320s, episode steps:  33, steps per second: 103, episode reward:  6.300, mean reward:  0.191 [ 0.017,  0.305], mean action: 15.273 [0.000, 29.000],  loss: 5.505948, mae: 79.973679, mean_q: 85.589592
  13765/378151: episode: 75, duration: 0.843s, episode steps:  84, steps per second: 100, episode reward: 22.826, mean reward:  0.272 [-0.005,  0.474], mean action: 17.690 [0.000, 31.000],  loss: 10.543326, mae: 80.041550, mean_q: 85.382996
  14032/378151: episode: 76, duration: 2.545s, episode steps: 267, steps per second: 105, episode reward: 74.577, mean reward:  0.279 [-0.005,  0.319], mean action: 16.689 [0.000, 31.000],  loss: 11.317216, mae: 81.136032, mean_q: 86.803642
  14147/378151: episode: 77, duration: 1.150s, episode steps: 115, steps per second: 100, episode reward: 36.173, mean reward:  0.315 [-0.005,  0.484], mean action: 15.252 [0.000, 31.000],  loss: 14.979146, mae: 82.055946, mean_q: 87.963409
  14414/378151: episode: 78, duration: 2.531s, episode steps: 267, steps per second: 105, episode reward: 53.777, mean reward:  0.201 [-0.005,  0.299], mean action: 15.000 [0.000, 31.000],  loss: 12.767545, mae: 83.132347, mean_q: 88.966187
  14681/378151: episode: 79, duration: 2.590s, episode steps: 267, steps per second: 103, episode reward: 91.200, mean reward:  0.342 [ 0.087,  0.422], mean action: 16.966 [0.000, 31.000],  loss: 15.565087, mae: 84.252045, mean_q: 90.220848
  14948/378151: episode: 80, duration: 2.618s, episode steps: 267, steps per second: 102, episode reward: 58.082, mean reward:  0.218 [-0.005,  0.451], mean action: 16.064 [0.000, 31.000],  loss: 15.212871, mae: 85.524925, mean_q: 91.605759
  15215/378151: episode: 81, duration: 2.526s, episode steps: 267, steps per second: 106, episode reward: 78.885, mean reward:  0.295 [-0.005,  0.377], mean action: 15.431 [0.000, 31.000],  loss: 16.920572, mae: 86.465790, mean_q: 92.780594
  15318/378151: episode: 82, duration: 1.025s, episode steps: 103, steps per second: 101, episode reward: 27.835, mean reward:  0.270 [-0.005,  0.437], mean action: 14.971 [0.000, 31.000],  loss: 18.944138, mae: 87.116470, mean_q: 93.293816
  15587/378151: episode: 83, duration: 2.565s, episode steps: 269, steps per second: 105, episode reward: 58.210, mean reward:  0.216 [-0.005,  0.299], mean action: 13.665 [0.000, 31.000],  loss: 17.096777, mae: 88.337875, mean_q: 94.674202
  15854/378151: episode: 84, duration: 2.598s, episode steps: 267, steps per second: 103, episode reward: 51.542, mean reward:  0.193 [-0.005,  0.412], mean action: 16.075 [0.000, 31.000],  loss: 15.097550, mae: 89.401192, mean_q: 95.831268
  15959/378151: episode: 85, duration: 0.996s, episode steps: 105, steps per second: 105, episode reward: 20.562, mean reward:  0.196 [-0.005,  0.314], mean action: 16.086 [0.000, 31.000],  loss: 13.749627, mae: 90.382378, mean_q: 96.753265
  16081/378151: episode: 86, duration: 1.195s, episode steps: 122, steps per second: 102, episode reward: 46.751, mean reward:  0.383 [ 0.133,  0.470], mean action: 16.279 [0.000, 31.000],  loss: 16.545097, mae: 90.779808, mean_q: 97.206085
  16226/378151: episode: 87, duration: 1.439s, episode steps: 145, steps per second: 101, episode reward: 64.345, mean reward:  0.444 [-0.005,  0.587], mean action: 16.655 [0.000, 31.000],  loss: 16.721558, mae: 91.590851, mean_q: 97.989433
  16312/378151: episode: 88, duration: 0.879s, episode steps:  86, steps per second:  98, episode reward: 17.293, mean reward:  0.201 [-0.005,  0.339], mean action: 15.605 [0.000, 31.000],  loss: 25.357092, mae: 91.997742, mean_q: 98.484634
  16351/378151: episode: 89, duration: 0.374s, episode steps:  39, steps per second: 104, episode reward: 15.846, mean reward:  0.406 [ 0.087,  0.497], mean action: 12.821 [0.000, 31.000],  loss: 19.227623, mae: 91.581734, mean_q: 98.803131
  16618/378151: episode: 90, duration: 2.571s, episode steps: 267, steps per second: 104, episode reward: 110.790, mean reward:  0.415 [ 0.133,  0.466], mean action: 17.079 [0.000, 31.000],  loss: 14.453872, mae: 93.112213, mean_q: 99.746056
  16885/378151: episode: 91, duration: 2.602s, episode steps: 267, steps per second: 103, episode reward: 78.949, mean reward:  0.296 [-0.005,  0.354], mean action: 11.925 [0.000, 31.000],  loss: 20.853296, mae: 94.577431, mean_q: 101.450806
  17154/378151: episode: 92, duration: 2.615s, episode steps: 269, steps per second: 103, episode reward: 76.667, mean reward:  0.285 [-0.005,  0.450], mean action: 16.926 [0.000, 31.000],  loss: 19.981157, mae: 96.229889, mean_q: 103.090561
  17421/378151: episode: 93, duration: 2.563s, episode steps: 267, steps per second: 104, episode reward: 101.903, mean reward:  0.382 [-0.005,  0.640], mean action: 15.199 [0.000, 31.000],  loss: 23.291973, mae: 97.340561, mean_q: 104.194771
  17688/378151: episode: 94, duration: 2.615s, episode steps: 267, steps per second: 102, episode reward: 103.662, mean reward:  0.388 [-0.005,  0.462], mean action: 16.835 [0.000, 31.000],  loss: 16.913631, mae: 98.747353, mean_q: 105.724731
  17958/378151: episode: 95, duration: 2.586s, episode steps: 270, steps per second: 104, episode reward: 123.926, mean reward:  0.459 [ 0.087,  0.617], mean action: 15.511 [0.000, 31.000],  loss: 22.772051, mae: 100.183304, mean_q: 107.442932
  18045/378151: episode: 96, duration: 0.881s, episode steps:  87, steps per second:  99, episode reward: 29.971, mean reward:  0.344 [-0.005,  0.461], mean action: 18.034 [1.000, 31.000],  loss: 15.965469, mae: 100.882721, mean_q: 107.956078
  18314/378151: episode: 97, duration: 2.588s, episode steps: 269, steps per second: 104, episode reward: 99.594, mean reward:  0.370 [-0.005,  0.439], mean action: 18.305 [0.000, 31.000],  loss: 18.629818, mae: 102.379143, mean_q: 109.554184
  18581/378151: episode: 98, duration: 2.633s, episode steps: 267, steps per second: 101, episode reward: 40.233, mean reward:  0.151 [-0.005,  0.418], mean action: 17.172 [0.000, 31.000],  loss: 26.434729, mae: 103.319885, mean_q: 110.739174
  18642/378151: episode: 99, duration: 0.571s, episode steps:  61, steps per second: 107, episode reward: 22.357, mean reward:  0.367 [ 0.087,  0.451], mean action: 15.770 [0.000, 31.000],  loss: 19.637114, mae: 104.165291, mean_q: 111.421066
  18911/378151: episode: 100, duration: 2.653s, episode steps: 269, steps per second: 101, episode reward: 140.205, mean reward:  0.521 [-0.005,  0.650], mean action: 15.665 [0.000, 31.000],  loss: 28.133909, mae: 104.838737, mean_q: 112.248421
  19178/378151: episode: 101, duration: 2.534s, episode steps: 267, steps per second: 105, episode reward: 72.931, mean reward:  0.273 [-0.005,  0.428], mean action: 16.738 [0.000, 31.000],  loss: 24.173103, mae: 105.709534, mean_q: 112.886864
  19246/378151: episode: 102, duration: 0.704s, episode steps:  68, steps per second:  97, episode reward: 11.235, mean reward:  0.165 [-0.005,  0.336], mean action: 16.500 [0.000, 31.000],  loss: 30.626856, mae: 106.438698, mean_q: 113.548508
  19513/378151: episode: 103, duration: 2.574s, episode steps: 267, steps per second: 104, episode reward: 68.205, mean reward:  0.255 [-0.005,  0.466], mean action: 14.513 [0.000, 31.000],  loss: 28.516165, mae: 107.178764, mean_q: 114.826088
  19620/378151: episode: 104, duration: 1.053s, episode steps: 107, steps per second: 102, episode reward: 23.451, mean reward:  0.219 [-0.005,  0.330], mean action: 16.318 [0.000, 31.000],  loss: 22.783089, mae: 107.862732, mean_q: 115.261337
  19658/378151: episode: 105, duration: 0.368s, episode steps:  38, steps per second: 103, episode reward:  9.408, mean reward:  0.248 [-0.005,  0.321], mean action: 11.500 [0.000, 30.000],  loss: 9.772602, mae: 108.413231, mean_q: 115.870102
  19925/378151: episode: 106, duration: 2.640s, episode steps: 267, steps per second: 101, episode reward: 65.782, mean reward:  0.246 [-0.005,  0.421], mean action: 15.779 [0.000, 31.000],  loss: 19.878021, mae: 108.943832, mean_q: 116.553314
  20194/378151: episode: 107, duration: 2.578s, episode steps: 269, steps per second: 104, episode reward: 128.331, mean reward:  0.477 [-0.005,  0.637], mean action: 16.007 [0.000, 31.000],  loss: 23.896797, mae: 110.573112, mean_q: 118.260498
  20371/378151: episode: 108, duration: 1.736s, episode steps: 177, steps per second: 102, episode reward: 72.517, mean reward:  0.410 [-0.005,  0.595], mean action: 15.452 [0.000, 31.000],  loss: 20.151384, mae: 112.266785, mean_q: 120.107567
  20638/378151: episode: 109, duration: 2.599s, episode steps: 267, steps per second: 103, episode reward: 99.562, mean reward:  0.373 [-0.005,  0.441], mean action: 12.704 [0.000, 31.000],  loss: 28.004133, mae: 112.976273, mean_q: 120.827133
  20859/378151: episode: 110, duration: 2.151s, episode steps: 221, steps per second: 103, episode reward: 76.755, mean reward:  0.347 [-0.005,  0.441], mean action: 12.887 [0.000, 31.000],  loss: 26.180138, mae: 114.673874, mean_q: 122.677353
  21126/378151: episode: 111, duration: 2.636s, episode steps: 267, steps per second: 101, episode reward: 107.080, mean reward:  0.401 [ 0.087,  0.476], mean action: 17.034 [0.000, 31.000],  loss: 32.277550, mae: 115.572548, mean_q: 123.914139
  21359/378151: episode: 112, duration: 2.242s, episode steps: 233, steps per second: 104, episode reward: 74.160, mean reward:  0.318 [-0.005,  0.486], mean action: 16.348 [0.000, 31.000],  loss: 32.168163, mae: 116.534767, mean_q: 124.815407
  21626/378151: episode: 113, duration: 2.618s, episode steps: 267, steps per second: 102, episode reward: 65.964, mean reward:  0.247 [-0.005,  0.319], mean action: 18.007 [0.000, 31.000],  loss: 31.791967, mae: 117.716187, mean_q: 126.142471
  21689/378151: episode: 114, duration: 0.599s, episode steps:  63, steps per second: 105, episode reward: 17.178, mean reward:  0.273 [-0.005,  0.326], mean action: 11.492 [1.000, 30.000],  loss: 25.167625, mae: 119.066521, mean_q: 127.381096
  21921/378151: episode: 115, duration: 2.268s, episode steps: 232, steps per second: 102, episode reward: 103.089, mean reward:  0.444 [-0.005,  0.644], mean action: 18.103 [0.000, 31.000],  loss: 39.715878, mae: 119.767578, mean_q: 128.714203
  22188/378151: episode: 116, duration: 2.543s, episode steps: 267, steps per second: 105, episode reward: 104.879, mean reward:  0.393 [ 0.116,  0.451], mean action: 16.569 [0.000, 31.000],  loss: 32.960804, mae: 121.294136, mean_q: 129.952209
  22455/378151: episode: 117, duration: 2.651s, episode steps: 267, steps per second: 101, episode reward: 115.920, mean reward:  0.434 [-0.005,  0.490], mean action: 15.041 [0.000, 31.000],  loss: 33.543488, mae: 123.236862, mean_q: 132.045731
  22722/378151: episode: 118, duration: 2.616s, episode steps: 267, steps per second: 102, episode reward: 105.831, mean reward:  0.396 [ 0.102,  0.459], mean action: 19.831 [0.000, 31.000],  loss: 38.520218, mae: 124.673409, mean_q: 133.471008
