Training for 378151 steps ...
     36/378151: episode: 1, duration: 0.169s, episode steps:  36, steps per second: 213, episode reward:  5.274, mean reward:  0.146 [-0.005,  0.306], mean action: 15.778 [0.000, 30.000],  loss: --, mae: --, mean_q: --
   1381/378151: episode: 12, duration: 0.681s, episode steps:  63, steps per second:  93, episode reward: 17.933, mean reward:  0.285 [-0.005,  0.400], mean action: 15.413 [0.000, 31.000],  loss: 0.021718, mae: 1.762805, mean_q: 2.053148
   1401/378151: episode: 13, duration: 0.208s, episode steps:  20, steps per second:  96, episode reward:  4.036, mean reward:  0.202 [ 0.087,  0.312], mean action: 16.650 [0.000, 31.000],  loss: 0.026500, mae: 1.903923, mean_q: 2.215043
   1464/378151: episode: 14, duration: 0.625s, episode steps:  63, steps per second: 101, episode reward: 11.139, mean reward:  0.177 [-0.005,  0.333], mean action: 15.937 [0.000, 31.000],  loss: 0.025573, mae: 2.081547, mean_q: 2.410991
   1479/378151: episode: 15, duration: 0.153s, episode steps:  15, steps per second:  98, episode reward:  3.311, mean reward:  0.221 [ 0.087,  0.319], mean action: 12.800 [1.000, 26.000],  loss: 0.032398, mae: 2.196301, mean_q: 2.509350
   1635/378151: episode: 16, duration: 1.549s, episode steps: 156, steps per second: 101, episode reward: 26.251, mean reward:  0.168 [-0.005,  0.318], mean action: 15.878 [0.000, 31.000],  loss: 0.027362, mae: 2.536391, mean_q: 2.901865
   1902/378151: episode: 17, duration: 2.706s, episode steps: 267, steps per second:  99, episode reward: 75.902, mean reward:  0.284 [-0.005,  0.408], mean action: 16.513 [0.000, 31.000],  loss: 0.037267, mae: 3.310857, mean_q: 3.712993
   1931/378151: episode: 18, duration: 0.289s, episode steps:  29, steps per second: 100, episode reward:  7.043, mean reward:  0.243 [ 0.116,  0.318], mean action: 16.552 [2.000, 29.000],  loss: 0.042913, mae: 3.860090, mean_q: 4.310858
   2198/378151: episode: 19, duration: 2.662s, episode steps: 267, steps per second: 100, episode reward: 76.160, mean reward:  0.285 [-0.005,  0.452], mean action: 15.210 [0.000, 31.000],  loss: 0.060377, mae: 4.375768, mean_q: 4.885098
   2285/378151: episode: 20, duration: 0.861s, episode steps:  87, steps per second: 101, episode reward: 17.085, mean reward:  0.196 [-0.005,  0.338], mean action: 14.828 [0.000, 31.000],  loss: 0.051168, mae: 5.067224, mean_q: 5.593521
   2307/378151: episode: 21, duration: 0.218s, episode steps:  22, steps per second: 101, episode reward:  5.610, mean reward:  0.255 [ 0.087,  0.359], mean action: 13.045 [0.000, 30.000],  loss: 0.078465, mae: 5.289702, mean_q: 5.848050
   2579/378151: episode: 22, duration: 2.751s, episode steps: 272, steps per second:  99, episode reward: 124.605, mean reward:  0.458 [ 0.116,  0.539], mean action: 14.868 [0.000, 31.000],  loss: 0.103160, mae: 5.858322, mean_q: 6.484211
   2781/378151: episode: 23, duration: 2.014s, episode steps: 202, steps per second: 100, episode reward: 65.778, mean reward:  0.326 [-0.005,  0.442], mean action: 14.975 [0.000, 31.000],  loss: 0.159927, mae: 6.870909, mean_q: 7.581908
   2995/378151: episode: 24, duration: 2.140s, episode steps: 214, steps per second: 100, episode reward: 98.943, mean reward:  0.462 [ 0.087,  0.661], mean action: 15.019 [0.000, 31.000],  loss: 0.157441, mae: 7.816926, mean_q: 8.569839
   3151/378151: episode: 25, duration: 1.549s, episode steps: 156, steps per second: 101, episode reward: 61.485, mean reward:  0.394 [-0.005,  0.532], mean action: 13.949 [0.000, 31.000],  loss: 0.193699, mae: 8.651541, mean_q: 9.450799
   3320/378151: episode: 26, duration: 1.703s, episode steps: 169, steps per second:  99, episode reward: 59.590, mean reward:  0.353 [-0.005,  0.470], mean action: 15.201 [0.000, 31.000],  loss: 0.196802, mae: 9.566141, mean_q: 10.462523
   3499/378151: episode: 27, duration: 1.775s, episode steps: 179, steps per second: 101, episode reward: 71.127, mean reward:  0.397 [-0.005,  0.497], mean action: 15.486 [0.000, 31.000],  loss: 0.237611, mae: 10.564752, mean_q: 11.585801
   3766/378151: episode: 28, duration: 2.683s, episode steps: 267, steps per second:  99, episode reward: 66.604, mean reward:  0.249 [-0.005,  0.358], mean action: 15.985 [0.000, 31.000],  loss: 0.245339, mae: 11.782722, mean_q: 12.925666
   3976/378151: episode: 29, duration: 2.090s, episode steps: 210, steps per second: 100, episode reward: 57.652, mean reward:  0.275 [-0.005,  0.473], mean action: 16.086 [0.000, 31.000],  loss: 0.324605, mae: 13.085842, mean_q: 14.274542
   4243/378151: episode: 30, duration: 2.710s, episode steps: 267, steps per second:  99, episode reward: 110.303, mean reward:  0.413 [-0.005,  0.636], mean action: 14.745 [0.000, 31.000],  loss: 0.340683, mae: 14.436636, mean_q: 15.763555
   4437/378151: episode: 31, duration: 1.936s, episode steps: 194, steps per second: 100, episode reward: 68.479, mean reward:  0.353 [-0.005,  0.510], mean action: 15.062 [0.000, 31.000],  loss: 0.492750, mae: 15.784752, mean_q: 17.206589
   4674/378151: episode: 32, duration: 2.353s, episode steps: 237, steps per second: 101, episode reward: 81.540, mean reward:  0.344 [-0.005,  0.476], mean action: 14.983 [0.000, 31.000],  loss: 0.614971, mae: 17.191433, mean_q: 18.807003
   4789/378151: episode: 33, duration: 1.189s, episode steps: 115, steps per second:  97, episode reward: 47.977, mean reward:  0.417 [ 0.137,  0.506], mean action: 15.504 [0.000, 31.000],  loss: 0.792536, mae: 18.516151, mean_q: 20.264740
   5056/378151: episode: 34, duration: 2.620s, episode steps: 267, steps per second: 102, episode reward: 80.080, mean reward:  0.300 [-0.005,  0.451], mean action: 16.206 [0.000, 31.000],  loss: 0.703523, mae: 19.817793, mean_q: 21.574295
   5323/378151: episode: 35, duration: 2.696s, episode steps: 267, steps per second:  99, episode reward: 132.048, mean reward:  0.495 [-0.005,  0.649], mean action: 15.135 [0.000, 31.000],  loss: 0.962473, mae: 21.781982, mean_q: 23.705334
   5590/378151: episode: 36, duration: 2.698s, episode steps: 267, steps per second:  99, episode reward: 118.484, mean reward:  0.444 [ 0.133,  0.632], mean action: 13.086 [0.000, 31.000],  loss: 1.224250, mae: 23.824369, mean_q: 25.889141
   5624/378151: episode: 37, duration: 0.337s, episode steps:  34, steps per second: 101, episode reward:  3.770, mean reward:  0.111 [-0.005,  0.305], mean action: 16.853 [2.000, 30.000],  loss: 1.055192, mae: 24.966282, mean_q: 27.140213
   5696/378151: episode: 38, duration: 0.688s, episode steps:  72, steps per second: 105, episode reward: 19.438, mean reward:  0.270 [ 0.017,  0.377], mean action: 15.958 [1.000, 31.000],  loss: 1.219585, mae: 25.327971, mean_q: 27.473410
   5831/378151: episode: 39, duration: 1.401s, episode steps: 135, steps per second:  96, episode reward: 42.984, mean reward:  0.318 [ 0.081,  0.454], mean action: 16.059 [0.000, 31.000],  loss: 1.114584, mae: 25.821550, mean_q: 27.923363
   5910/378151: episode: 40, duration: 0.781s, episode steps:  79, steps per second: 101, episode reward: 11.855, mean reward:  0.150 [-0.005,  0.314], mean action: 14.000 [0.000, 31.000],  loss: 1.253326, mae: 26.365583, mean_q: 28.516876
   6021/378151: episode: 41, duration: 1.133s, episode steps: 111, steps per second:  98, episode reward: 35.109, mean reward:  0.316 [ 0.116,  0.496], mean action: 14.676 [0.000, 31.000],  loss: 1.530447, mae: 26.949387, mean_q: 29.252604
   6130/378151: episode: 42, duration: 1.120s, episode steps: 109, steps per second:  97, episode reward: 15.727, mean reward:  0.144 [-0.005,  0.306], mean action: 17.991 [1.000, 31.000],  loss: 1.330288, mae: 27.702366, mean_q: 29.989468
   6397/378151: episode: 43, duration: 2.630s, episode steps: 267, steps per second: 102, episode reward: 85.886, mean reward:  0.322 [-0.005,  0.462], mean action: 16.146 [0.000, 31.000],  loss: 1.804284, mae: 29.041025, mean_q: 31.441809
   6664/378151: episode: 44, duration: 2.685s, episode steps: 267, steps per second:  99, episode reward: 123.029, mean reward:  0.461 [-0.005,  0.630], mean action: 14.558 [0.000, 31.000],  loss: 2.379230, mae: 30.731844, mean_q: 33.292244
   6738/378151: episode: 45, duration: 0.719s, episode steps:  74, steps per second: 103, episode reward: 12.958, mean reward:  0.175 [-0.005,  0.299], mean action: 14.230 [0.000, 31.000],  loss: 2.071245, mae: 31.976088, mean_q: 34.648846
   7007/378151: episode: 46, duration: 2.741s, episode steps: 269, steps per second:  98, episode reward: 86.597, mean reward:  0.322 [-0.005,  0.461], mean action: 15.271 [0.000, 31.000],  loss: 2.085915, mae: 33.312496, mean_q: 36.007065
   7125/378151: episode: 47, duration: 1.184s, episode steps: 118, steps per second: 100, episode reward: 30.454, mean reward:  0.258 [-0.005,  0.402], mean action: 15.915 [0.000, 31.000],  loss: 2.077065, mae: 34.852913, mean_q: 37.550598
   7144/378151: episode: 48, duration: 0.187s, episode steps:  19, steps per second: 102, episode reward:  3.317, mean reward:  0.175 [-0.005,  0.308], mean action: 12.316 [0.000, 31.000],  loss: 2.303832, mae: 35.412365, mean_q: 38.243748
   7246/378151: episode: 49, duration: 0.997s, episode steps: 102, steps per second: 102, episode reward: 18.394, mean reward:  0.180 [-0.005,  0.313], mean action: 15.304 [0.000, 31.000],  loss: 2.259933, mae: 35.762955, mean_q: 38.621738
   7283/378151: episode: 50, duration: 0.440s, episode steps:  37, steps per second:  84, episode reward: 10.386, mean reward:  0.281 [ 0.087,  0.335], mean action: 13.432 [0.000, 31.000],  loss: 3.547545, mae: 36.219872, mean_q: 39.092148
   7394/378151: episode: 51, duration: 1.073s, episode steps: 111, steps per second: 103, episode reward: 26.563, mean reward:  0.239 [-0.005,  0.393], mean action: 16.523 [0.000, 31.000],  loss: 2.154370, mae: 36.311138, mean_q: 39.202381
   7448/378151: episode: 52, duration: 0.601s, episode steps:  54, steps per second:  90, episode reward: 12.783, mean reward:  0.237 [ 0.133,  0.309], mean action: 16.241 [0.000, 31.000],  loss: 2.322457, mae: 36.932922, mean_q: 39.803085
   7545/378151: episode: 53, duration: 0.927s, episode steps:  97, steps per second: 105, episode reward: 29.807, mean reward:  0.307 [-0.005,  0.484], mean action: 15.804 [0.000, 31.000],  loss: 2.564798, mae: 37.354355, mean_q: 40.224621
   7645/378151: episode: 54, duration: 1.028s, episode steps: 100, steps per second:  97, episode reward: 26.699, mean reward:  0.267 [-0.005,  0.438], mean action: 15.850 [0.000, 31.000],  loss: 2.784766, mae: 37.921062, mean_q: 40.896584
   7761/378151: episode: 55, duration: 1.145s, episode steps: 116, steps per second: 101, episode reward: 26.288, mean reward:  0.227 [-0.005,  0.331], mean action: 13.612 [0.000, 31.000],  loss: 3.823826, mae: 38.370445, mean_q: 41.342503
   7986/378151: episode: 56, duration: 2.288s, episode steps: 225, steps per second:  98, episode reward: 60.278, mean reward:  0.268 [-0.005,  0.472], mean action: 13.542 [0.000, 31.000],  loss: 2.665535, mae: 39.644680, mean_q: 42.740540
   8253/378151: episode: 57, duration: 2.636s, episode steps: 267, steps per second: 101, episode reward: 106.651, mean reward:  0.399 [-0.005,  0.468], mean action: 16.225 [0.000, 31.000],  loss: 3.848099, mae: 41.251301, mean_q: 44.554379
   8520/378151: episode: 58, duration: 2.739s, episode steps: 267, steps per second:  97, episode reward: 71.229, mean reward:  0.267 [ 0.116,  0.314], mean action: 14.551 [0.000, 31.000],  loss: 3.726044, mae: 43.369274, mean_q: 46.892738
   8789/378151: episode: 59, duration: 2.746s, episode steps: 269, steps per second:  98, episode reward: 123.680, mean reward:  0.460 [ 0.087,  0.646], mean action: 16.349 [0.000, 31.000],  loss: 4.657413, mae: 45.046265, mean_q: 48.666470
   8807/378151: episode: 60, duration: 0.181s, episode steps:  18, steps per second: 100, episode reward:  3.074, mean reward:  0.171 [ 0.087,  0.305], mean action: 15.444 [1.000, 30.000],  loss: 8.638938, mae: 46.101799, mean_q: 49.679943
   9074/378151: episode: 61, duration: 2.643s, episode steps: 267, steps per second: 101, episode reward: 99.736, mean reward:  0.374 [-0.005,  0.460], mean action: 15.281 [0.000, 31.000],  loss: 3.357160, mae: 46.704185, mean_q: 50.310936
   9228/378151: episode: 62, duration: 1.547s, episode steps: 154, steps per second: 100, episode reward: 42.460, mean reward:  0.276 [ 0.079,  0.464], mean action: 15.123 [0.000, 31.000],  loss: 3.573133, mae: 48.176430, mean_q: 51.812153
   9495/378151: episode: 63, duration: 2.699s, episode steps: 267, steps per second:  99, episode reward: 68.896, mean reward:  0.258 [-0.005,  0.473], mean action: 16.978 [0.000, 31.000],  loss: 4.482516, mae: 49.264229, mean_q: 52.976685
   9731/378151: episode: 64, duration: 2.344s, episode steps: 236, steps per second: 101, episode reward: 92.247, mean reward:  0.391 [-0.005,  0.474], mean action: 13.877 [0.000, 31.000],  loss: 3.782216, mae: 51.023769, mean_q: 54.870373
   9998/378151: episode: 65, duration: 2.694s, episode steps: 267, steps per second:  99, episode reward: 102.034, mean reward:  0.382 [-0.005,  0.452], mean action: 14.390 [0.000, 31.000],  loss: 5.770471, mae: 52.963638, mean_q: 56.992683
  10265/378151: episode: 66, duration: 2.599s, episode steps: 267, steps per second: 103, episode reward: 84.866, mean reward:  0.318 [-0.005,  0.502], mean action: 14.652 [0.000, 31.000],  loss: 5.721238, mae: 54.718517, mean_q: 58.902657
  10532/378151: episode: 67, duration: 2.722s, episode steps: 267, steps per second:  98, episode reward: 40.820, mean reward:  0.153 [-0.005,  0.284], mean action: 15.034 [0.000, 31.000],  loss: 6.592928, mae: 56.328026, mean_q: 60.598324
  10801/378151: episode: 68, duration: 2.677s, episode steps: 269, steps per second: 100, episode reward: 103.853, mean reward:  0.386 [ 0.089,  0.463], mean action: 15.115 [0.000, 31.000],  loss: 6.336372, mae: 57.770821, mean_q: 62.148182
  10982/378151: episode: 69, duration: 1.814s, episode steps: 181, steps per second: 100, episode reward: 87.042, mean reward:  0.481 [-0.005,  0.643], mean action: 17.591 [1.000, 31.000],  loss: 7.457575, mae: 59.232746, mean_q: 63.806976
  11249/378151: episode: 70, duration: 2.729s, episode steps: 267, steps per second:  98, episode reward: 111.068, mean reward:  0.416 [-0.005,  0.645], mean action: 15.109 [0.000, 31.000],  loss: 6.671589, mae: 60.637581, mean_q: 65.118576
  11389/378151: episode: 71, duration: 1.454s, episode steps: 140, steps per second:  96, episode reward: 35.022, mean reward:  0.250 [-0.005,  0.313], mean action: 14.400 [0.000, 30.000],  loss: 8.192428, mae: 61.760479, mean_q: 66.346283
  11443/378151: episode: 72, duration: 0.524s, episode steps:  54, steps per second: 103, episode reward: 14.730, mean reward:  0.273 [-0.005,  0.410], mean action: 18.037 [0.000, 30.000],  loss: 9.640712, mae: 61.972836, mean_q: 66.544861
  11542/378151: episode: 73, duration: 1.024s, episode steps:  99, steps per second:  97, episode reward: 33.295, mean reward:  0.336 [ 0.017,  0.467], mean action: 16.000 [0.000, 30.000],  loss: 7.088269, mae: 62.705151, mean_q: 67.313332
  11569/378151: episode: 74, duration: 0.268s, episode steps:  27, steps per second: 101, episode reward:  2.932, mean reward:  0.109 [-0.005,  0.315], mean action: 14.815 [1.000, 31.000],  loss: 9.704523, mae: 63.102901, mean_q: 67.908546
  11833/378151: episode: 75, duration: 2.657s, episode steps: 264, steps per second:  99, episode reward: 58.513, mean reward:  0.222 [-0.005,  0.383], mean action: 14.341 [0.000, 31.000],  loss: 7.402340, mae: 63.894012, mean_q: 68.643570
  11960/378151: episode: 76, duration: 1.313s, episode steps: 127, steps per second:  97, episode reward: 63.102, mean reward:  0.497 [-0.005,  0.640], mean action: 15.606 [0.000, 31.000],  loss: 9.108273, mae: 65.007004, mean_q: 69.918945
  12227/378151: episode: 77, duration: 2.715s, episode steps: 267, steps per second:  98, episode reward: 104.873, mean reward:  0.393 [ 0.036,  0.471], mean action: 12.476 [0.000, 31.000],  loss: 8.092079, mae: 66.171829, mean_q: 71.024582
  12337/378151: episode: 78, duration: 1.082s, episode steps: 110, steps per second: 102, episode reward: 22.450, mean reward:  0.204 [-0.005,  0.309], mean action: 14.755 [0.000, 31.000],  loss: 8.162111, mae: 67.570427, mean_q: 72.551155
  12377/378151: episode: 79, duration: 0.475s, episode steps:  40, steps per second:  84, episode reward:  8.694, mean reward:  0.217 [-0.005,  0.334], mean action: 13.800 [0.000, 31.000],  loss: 17.047018, mae: 68.065979, mean_q: 73.129807
  12644/378151: episode: 80, duration: 2.648s, episode steps: 267, steps per second: 101, episode reward: 101.203, mean reward:  0.379 [ 0.087,  0.454], mean action: 13.082 [0.000, 31.000],  loss: 8.026137, mae: 69.093826, mean_q: 74.120743
  12911/378151: episode: 81, duration: 2.750s, episode steps: 267, steps per second:  97, episode reward: 51.634, mean reward:  0.193 [-0.005,  0.294], mean action: 14.888 [0.000, 31.000],  loss: 7.607056, mae: 70.831299, mean_q: 75.980278
  13178/378151: episode: 82, duration: 2.708s, episode steps: 267, steps per second:  99, episode reward: 109.504, mean reward:  0.410 [-0.005,  0.640], mean action: 15.715 [0.000, 31.000],  loss: 10.424322, mae: 72.472191, mean_q: 77.730202
  13438/378151: episode: 83, duration: 2.630s, episode steps: 260, steps per second:  99, episode reward: 81.070, mean reward:  0.312 [-0.005,  0.476], mean action: 14.242 [0.000, 31.000],  loss: 10.329677, mae: 73.409149, mean_q: 78.697403
  13506/378151: episode: 84, duration: 0.650s, episode steps:  68, steps per second: 105, episode reward: 17.753, mean reward:  0.261 [ 0.100,  0.334], mean action: 16.324 [1.000, 31.000],  loss: 11.012853, mae: 74.422394, mean_q: 79.815163
  13773/378151: episode: 85, duration: 2.717s, episode steps: 267, steps per second:  98, episode reward: 110.498, mean reward:  0.414 [-0.005,  0.630], mean action: 16.577 [0.000, 31.000],  loss: 11.246192, mae: 75.145729, mean_q: 80.680748
  14022/378151: episode: 86, duration: 2.479s, episode steps: 249, steps per second: 100, episode reward: 109.213, mean reward:  0.439 [ 0.026,  0.641], mean action: 14.558 [0.000, 31.000],  loss: 12.106263, mae: 76.166283, mean_q: 81.854042
  14289/378151: episode: 87, duration: 2.708s, episode steps: 267, steps per second:  99, episode reward: 97.324, mean reward:  0.365 [-0.005,  0.463], mean action: 14.112 [0.000, 31.000],  loss: 13.354566, mae: 77.293304, mean_q: 82.992439
  14414/378151: episode: 88, duration: 1.298s, episode steps: 125, steps per second:  96, episode reward: 26.733, mean reward:  0.214 [-0.005,  0.411], mean action: 16.168 [1.000, 31.000],  loss: 13.719931, mae: 78.441719, mean_q: 84.185669
  14603/378151: episode: 89, duration: 1.912s, episode steps: 189, steps per second:  99, episode reward: 42.734, mean reward:  0.226 [-0.005,  0.350], mean action: 14.952 [0.000, 31.000],  loss: 15.577009, mae: 79.485764, mean_q: 85.402519
  14870/378151: episode: 90, duration: 2.746s, episode steps: 267, steps per second:  97, episode reward: 98.763, mean reward:  0.370 [-0.005,  0.457], mean action: 15.097 [0.000, 31.000],  loss: 12.206309, mae: 80.862961, mean_q: 86.912872
  15097/378151: episode: 91, duration: 2.279s, episode steps: 227, steps per second: 100, episode reward: 100.382, mean reward:  0.442 [ 0.116,  0.640], mean action: 15.392 [1.000, 31.000],  loss: 16.256388, mae: 82.336937, mean_q: 88.437859
  15127/378151: episode: 92, duration: 0.296s, episode steps:  30, steps per second: 101, episode reward:  5.075, mean reward:  0.169 [-0.005,  0.341], mean action: 11.700 [0.000, 31.000],  loss: 17.445513, mae: 82.740646, mean_q: 89.011261
  15190/378151: episode: 93, duration: 0.687s, episode steps:  63, steps per second:  92, episode reward: 15.121, mean reward:  0.240 [ 0.087,  0.309], mean action: 13.603 [0.000, 31.000],  loss: 14.921689, mae: 83.394554, mean_q: 89.766235
  15457/378151: episode: 94, duration: 2.671s, episode steps: 267, steps per second: 100, episode reward: 110.549, mean reward:  0.414 [-0.005,  0.639], mean action: 14.963 [0.000, 31.000],  loss: 11.265555, mae: 84.635742, mean_q: 90.855263
  15724/378151: episode: 95, duration: 2.717s, episode steps: 267, steps per second:  98, episode reward: 117.809, mean reward:  0.441 [ 0.116,  0.479], mean action: 10.801 [0.000, 31.000],  loss: 13.596721, mae: 86.367073, mean_q: 92.586685
  15991/378151: episode: 96, duration: 2.635s, episode steps: 267, steps per second: 101, episode reward: 52.633, mean reward:  0.197 [-0.005,  0.307], mean action: 15.019 [0.000, 31.000],  loss: 18.278767, mae: 87.514732, mean_q: 93.895164
  16260/378151: episode: 97, duration: 2.758s, episode steps: 269, steps per second:  98, episode reward: 135.688, mean reward:  0.504 [ 0.087,  0.635], mean action: 16.361 [0.000, 31.000],  loss: 16.674822, mae: 88.473328, mean_q: 94.918259
  16527/378151: episode: 98, duration: 2.726s, episode steps: 267, steps per second:  98, episode reward: 104.020, mean reward:  0.390 [ 0.137,  0.453], mean action: 13.903 [0.000, 31.000],  loss: 15.756278, mae: 90.388870, mean_q: 97.042503
  16555/378151: episode: 99, duration: 0.285s, episode steps:  28, steps per second:  98, episode reward:  4.893, mean reward:  0.175 [-0.005,  0.305], mean action: 11.536 [0.000, 26.000],  loss: 16.566416, mae: 91.401169, mean_q: 98.114136
  16822/378151: episode: 100, duration: 2.689s, episode steps: 267, steps per second:  99, episode reward: 73.045, mean reward:  0.274 [-0.005,  0.477], mean action: 15.614 [0.000, 31.000],  loss: 15.438292, mae: 92.213257, mean_q: 98.953949
  16873/378151: episode: 101, duration: 0.573s, episode steps:  51, steps per second:  89, episode reward: 14.004, mean reward:  0.275 [-0.005,  0.376], mean action: 14.333 [0.000, 31.000],  loss: 13.859737, mae: 93.154030, mean_q: 99.632332
  17140/378151: episode: 102, duration: 2.649s, episode steps: 267, steps per second: 101, episode reward: 106.686, mean reward:  0.400 [ 0.087,  0.471], mean action: 13.772 [0.000, 31.000],  loss: 17.930342, mae: 94.229736, mean_q: 100.937454
  17407/378151: episode: 103, duration: 2.738s, episode steps: 267, steps per second:  98, episode reward: 105.893, mean reward:  0.397 [ 0.087,  0.446], mean action: 12.449 [0.000, 30.000],  loss: 20.769953, mae: 95.524551, mean_q: 102.711594
  17674/378151: episode: 104, duration: 2.666s, episode steps: 267, steps per second: 100, episode reward: 107.383, mean reward:  0.402 [-0.005,  0.643], mean action: 14.449 [0.000, 31.000],  loss: 23.315075, mae: 97.338425, mean_q: 104.444664
  17755/378151: episode: 105, duration: 0.864s, episode steps:  81, steps per second:  94, episode reward: 16.691, mean reward:  0.206 [-0.005,  0.304], mean action: 15.309 [0.000, 31.000],  loss: 19.960304, mae: 98.314034, mean_q: 105.465302
  18022/378151: episode: 106, duration: 2.668s, episode steps: 267, steps per second: 100, episode reward: 96.492, mean reward:  0.361 [ 0.065,  0.425], mean action: 16.232 [0.000, 31.000],  loss: 20.113836, mae: 99.371384, mean_q: 106.503716
  18056/378151: episode: 107, duration: 0.408s, episode steps:  34, steps per second:  83, episode reward:  5.592, mean reward:  0.164 [-0.005,  0.303], mean action: 14.147 [1.000, 29.000],  loss: 16.966812, mae: 98.765663, mean_q: 105.905525
  18323/378151: episode: 108, duration: 2.681s, episode steps: 267, steps per second: 100, episode reward: 107.726, mean reward:  0.403 [-0.005,  0.447], mean action: 15.172 [0.000, 31.000],  loss: 25.884066, mae: 100.522667, mean_q: 107.884171
  18349/378151: episode: 109, duration: 0.258s, episode steps:  26, steps per second: 101, episode reward:  5.842, mean reward:  0.225 [-0.005,  0.370], mean action: 14.577 [1.000, 31.000],  loss: 38.116661, mae: 101.406586, mean_q: 109.127563
  18616/378151: episode: 110, duration: 2.726s, episode steps: 267, steps per second:  98, episode reward: 111.908, mean reward:  0.419 [ 0.116,  0.477], mean action: 13.948 [0.000, 31.000],  loss: 26.955296, mae: 102.528236, mean_q: 110.121910
  18885/378151: episode: 111, duration: 2.749s, episode steps: 269, steps per second:  98, episode reward: 84.132, mean reward:  0.313 [-0.005,  0.593], mean action: 16.000 [0.000, 31.000],  loss: 22.172979, mae: 104.390785, mean_q: 112.151657
  19152/378151: episode: 112, duration: 2.647s, episode steps: 267, steps per second: 101, episode reward: 112.954, mean reward:  0.423 [ 0.137,  0.478], mean action: 17.371 [0.000, 31.000],  loss: 27.828257, mae: 105.222900, mean_q: 112.751244
  19419/378151: episode: 113, duration: 2.721s, episode steps: 267, steps per second:  98, episode reward: 78.691, mean reward:  0.295 [-0.005,  0.565], mean action: 15.993 [0.000, 31.000],  loss: 24.213402, mae: 106.105011, mean_q: 113.766647
  19686/378151: episode: 114, duration: 2.695s, episode steps: 267, steps per second:  99, episode reward: 79.522, mean reward:  0.298 [ 0.090,  0.331], mean action: 15.277 [0.000, 31.000],  loss: 28.029907, mae: 107.850334, mean_q: 115.944695
  19953/378151: episode: 115, duration: 2.724s, episode steps: 267, steps per second:  98, episode reward: 109.370, mean reward:  0.410 [ 0.116,  0.468], mean action: 17.419 [0.000, 31.000],  loss: 34.169556, mae: 109.016220, mean_q: 117.112106
  20019/378151: episode: 116, duration: 0.642s, episode steps:  66, steps per second: 103, episode reward: 31.816, mean reward:  0.482 [ 0.087,  0.642], mean action: 13.955 [0.000, 31.000],  loss: 36.102337, mae: 110.682121, mean_q: 118.818497
  20175/378151: episode: 117, duration: 1.606s, episode steps: 156, steps per second:  97, episode reward: 78.021, mean reward:  0.500 [-0.005,  0.643], mean action: 16.731 [0.000, 31.000],  loss: 28.810835, mae: 110.279236, mean_q: 118.437401
  20394/378151: episode: 118, duration: 2.190s, episode steps: 219, steps per second: 100, episode reward: 84.637, mean reward:  0.386 [-0.005,  0.446], mean action: 13.087 [0.000, 31.000],  loss: 33.499680, mae: 111.241295, mean_q: 119.304245
