Training for 378151 steps ...
     30/378151: episode: 1, duration: 0.135s, episode steps:  30, steps per second: 222, episode reward:  4.710, mean reward:  0.157 [-0.005,  0.330], mean action: 15.600 [1.000, 31.000],  loss: --, mae: --, mean_q: --
   3228/378151: episode: 22, duration: 0.983s, episode steps:  98, steps per second: 100, episode reward: 20.634, mean reward:  0.211 [-0.005,  0.327], mean action: 17.112 [1.000, 31.000],  loss: 0.243728, mae: 9.692171, mean_q: 10.677983
   3328/378151: episode: 23, duration: 0.951s, episode steps: 100, steps per second: 105, episode reward: 30.932, mean reward:  0.309 [-0.005,  0.493], mean action: 15.870 [0.000, 31.000],  loss: 0.167721, mae: 10.200211, mean_q: 11.214596
   3346/378151: episode: 24, duration: 0.178s, episode steps:  18, steps per second: 101, episode reward:  4.843, mean reward:  0.269 [ 0.116,  0.361], mean action: 17.278 [1.000, 31.000],  loss: 0.178189, mae: 10.470810, mean_q: 11.552746
   3461/378151: episode: 25, duration: 1.158s, episode steps: 115, steps per second:  99, episode reward: 18.825, mean reward:  0.164 [-0.005,  0.316], mean action: 15.530 [0.000, 31.000],  loss: 0.259231, mae: 10.844182, mean_q: 11.916094
   3564/378151: episode: 26, duration: 1.059s, episode steps: 103, steps per second:  97, episode reward: 20.910, mean reward:  0.203 [-0.005,  0.361], mean action: 16.553 [0.000, 31.000],  loss: 0.290627, mae: 11.404457, mean_q: 12.530894
   3719/378151: episode: 27, duration: 1.528s, episode steps: 155, steps per second: 101, episode reward: 55.198, mean reward:  0.356 [ 0.087,  0.459], mean action: 15.077 [0.000, 31.000],  loss: 0.392636, mae: 12.088296, mean_q: 13.407396
   3730/378151: episode: 28, duration: 0.106s, episode steps:  11, steps per second: 104, episode reward:  1.783, mean reward:  0.162 [-0.005,  0.312], mean action: 13.636 [2.000, 29.000],  loss: 0.329139, mae: 12.658176, mean_q: 14.191491
   3798/378151: episode: 29, duration: 0.643s, episode steps:  68, steps per second: 106, episode reward: 17.581, mean reward:  0.259 [-0.005,  0.409], mean action: 15.926 [0.000, 31.000],  loss: 1.011931, mae: 12.706793, mean_q: 14.031412
   4065/378151: episode: 30, duration: 2.639s, episode steps: 267, steps per second: 101, episode reward: 114.758, mean reward:  0.430 [-0.005,  0.623], mean action: 15.805 [0.000, 31.000],  loss: 0.750750, mae: 13.782133, mean_q: 15.272688
   4075/378151: episode: 31, duration: 0.100s, episode steps:  10, steps per second: 100, episode reward:  2.010, mean reward:  0.201 [ 0.087,  0.303], mean action: 13.000 [0.000, 28.000],  loss: 1.302785, mae: 14.834414, mean_q: 16.265781
   4108/378151: episode: 32, duration: 0.313s, episode steps:  33, steps per second: 105, episode reward:  6.953, mean reward:  0.211 [ 0.062,  0.330], mean action: 13.939 [0.000, 31.000],  loss: 0.668758, mae: 14.827776, mean_q: 16.530365
   4378/378151: episode: 33, duration: 2.626s, episode steps: 270, steps per second: 103, episode reward: 97.388, mean reward:  0.361 [-0.005,  0.459], mean action: 16.630 [0.000, 31.000],  loss: 0.940424, mae: 16.204651, mean_q: 17.986092
   4593/378151: episode: 34, duration: 2.174s, episode steps: 215, steps per second:  99, episode reward: 85.571, mean reward:  0.398 [-0.005,  0.663], mean action: 15.414 [0.000, 30.000],  loss: 1.177284, mae: 18.430052, mean_q: 20.315226
   4649/378151: episode: 35, duration: 0.533s, episode steps:  56, steps per second: 105, episode reward: 12.619, mean reward:  0.225 [ 0.087,  0.319], mean action: 15.411 [0.000, 31.000],  loss: 0.996790, mae: 19.588633, mean_q: 21.467039
   4916/378151: episode: 36, duration: 2.668s, episode steps: 267, steps per second: 100, episode reward: 103.549, mean reward:  0.388 [ 0.137,  0.444], mean action: 14.648 [0.000, 31.000],  loss: 1.079304, mae: 20.903685, mean_q: 22.981401
   5154/378151: episode: 37, duration: 2.329s, episode steps: 238, steps per second: 102, episode reward: 76.818, mean reward:  0.323 [-0.005,  0.663], mean action: 16.735 [0.000, 31.000],  loss: 1.531874, mae: 23.092907, mean_q: 25.300747
   5179/378151: episode: 38, duration: 0.248s, episode steps:  25, steps per second: 101, episode reward:  3.948, mean reward:  0.158 [ 0.087,  0.311], mean action: 17.600 [3.000, 30.000],  loss: 1.611325, mae: 24.233356, mean_q: 26.587185
   5248/378151: episode: 39, duration: 0.721s, episode steps:  69, steps per second:  96, episode reward: 12.793, mean reward:  0.185 [ 0.060,  0.305], mean action: 15.739 [0.000, 31.000],  loss: 1.454134, mae: 24.677975, mean_q: 26.945557
   5258/378151: episode: 40, duration: 0.099s, episode steps:  10, steps per second: 101, episode reward:  2.225, mean reward:  0.223 [ 0.087,  0.312], mean action: 13.800 [2.000, 26.000],  loss: 0.679063, mae: 24.812120, mean_q: 26.955566
   5359/378151: episode: 41, duration: 0.977s, episode steps: 101, steps per second: 103, episode reward: 35.502, mean reward:  0.352 [-0.005,  0.483], mean action: 15.149 [0.000, 31.000],  loss: 1.340511, mae: 25.256800, mean_q: 27.584290
   5512/378151: episode: 42, duration: 1.539s, episode steps: 153, steps per second:  99, episode reward: 70.407, mean reward:  0.460 [-0.005,  0.645], mean action: 14.712 [0.000, 31.000],  loss: 1.590708, mae: 26.484741, mean_q: 29.047264
   5520/378151: episode: 43, duration: 0.088s, episode steps:   8, steps per second:  91, episode reward:  1.845, mean reward:  0.231 [ 0.116,  0.309], mean action: 19.875 [1.000, 30.000],  loss: 1.547738, mae: 26.627695, mean_q: 29.289402
   5787/378151: episode: 44, duration: 2.616s, episode steps: 267, steps per second: 102, episode reward: 98.577, mean reward:  0.369 [ 0.087,  0.443], mean action: 13.318 [0.000, 31.000],  loss: 2.220747, mae: 28.295897, mean_q: 30.801292
   6054/378151: episode: 45, duration: 2.591s, episode steps: 267, steps per second: 103, episode reward: 90.375, mean reward:  0.338 [-0.005,  0.458], mean action: 15.618 [0.000, 31.000],  loss: 2.242540, mae: 30.611946, mean_q: 33.175228
   6321/378151: episode: 46, duration: 2.644s, episode steps: 267, steps per second: 101, episode reward: 115.735, mean reward:  0.433 [-0.005,  0.646], mean action: 15.539 [0.000, 31.000],  loss: 1.871270, mae: 32.569096, mean_q: 35.191494
   6343/378151: episode: 47, duration: 0.221s, episode steps:  22, steps per second:  99, episode reward:  4.394, mean reward:  0.200 [-0.005,  0.308], mean action: 15.409 [0.000, 27.000],  loss: 1.229814, mae: 33.810173, mean_q: 36.625782
   6412/378151: episode: 48, duration: 0.668s, episode steps:  69, steps per second: 103, episode reward: 22.772, mean reward:  0.330 [ 0.087,  0.444], mean action: 16.130 [0.000, 31.000],  loss: 2.869960, mae: 33.675545, mean_q: 36.377499
   6679/378151: episode: 49, duration: 2.645s, episode steps: 267, steps per second: 101, episode reward: 48.650, mean reward:  0.182 [-0.005,  0.299], mean action: 15.105 [0.000, 31.000],  loss: 2.816521, mae: 34.841259, mean_q: 37.609055
   6946/378151: episode: 50, duration: 2.674s, episode steps: 267, steps per second: 100, episode reward: 145.595, mean reward:  0.545 [ 0.056,  0.656], mean action: 14.075 [0.000, 31.000],  loss: 2.687436, mae: 36.086231, mean_q: 38.973675
   7213/378151: episode: 51, duration: 2.604s, episode steps: 267, steps per second: 103, episode reward: 107.279, mean reward:  0.402 [-0.005,  0.457], mean action: 15.041 [0.000, 31.000],  loss: 2.664006, mae: 38.224380, mean_q: 41.171143
   7480/378151: episode: 52, duration: 2.697s, episode steps: 267, steps per second:  99, episode reward: 89.452, mean reward:  0.335 [-0.005,  0.519], mean action: 16.412 [0.000, 31.000],  loss: 3.076472, mae: 40.112007, mean_q: 43.250038
   7543/378151: episode: 53, duration: 0.594s, episode steps:  63, steps per second: 106, episode reward: 14.365, mean reward:  0.228 [-0.005,  0.384], mean action: 15.714 [0.000, 30.000],  loss: 1.996690, mae: 41.099792, mean_q: 44.106129
   7810/378151: episode: 54, duration: 2.662s, episode steps: 267, steps per second: 100, episode reward: 111.233, mean reward:  0.417 [ 0.087,  0.564], mean action: 14.060 [0.000, 31.000],  loss: 4.534008, mae: 42.511536, mean_q: 45.951332
   7978/378151: episode: 55, duration: 1.675s, episode steps: 168, steps per second: 100, episode reward: 74.681, mean reward:  0.445 [ 0.087,  0.642], mean action: 16.137 [0.000, 31.000],  loss: 3.423615, mae: 44.208748, mean_q: 47.734001
   8245/378151: episode: 56, duration: 2.589s, episode steps: 267, steps per second: 103, episode reward: 119.957, mean reward:  0.449 [ 0.118,  0.578], mean action: 15.375 [0.000, 31.000],  loss: 4.264158, mae: 46.157360, mean_q: 49.821178
   8292/378151: episode: 57, duration: 0.518s, episode steps:  47, steps per second:  91, episode reward: 11.349, mean reward:  0.241 [-0.005,  0.479], mean action: 17.745 [0.000, 29.000],  loss: 5.504578, mae: 47.402027, mean_q: 51.285389
   8559/378151: episode: 58, duration: 2.610s, episode steps: 267, steps per second: 102, episode reward: 103.582, mean reward:  0.388 [ 0.087,  0.611], mean action: 15.618 [0.000, 31.000],  loss: 4.811073, mae: 48.351242, mean_q: 52.112587
   8642/378151: episode: 59, duration: 0.862s, episode steps:  83, steps per second:  96, episode reward: 28.616, mean reward:  0.345 [ 0.133,  0.476], mean action: 15.542 [0.000, 31.000],  loss: 4.858636, mae: 49.459778, mean_q: 53.125629
   8909/378151: episode: 60, duration: 2.600s, episode steps: 267, steps per second: 103, episode reward: 104.675, mean reward:  0.392 [ 0.017,  0.479], mean action: 17.757 [0.000, 31.000],  loss: 4.773999, mae: 50.669838, mean_q: 54.504063
   9178/378151: episode: 61, duration: 2.696s, episode steps: 269, steps per second: 100, episode reward: 113.207, mean reward:  0.421 [ 0.087,  0.647], mean action: 17.093 [0.000, 31.000],  loss: 5.666941, mae: 52.847519, mean_q: 56.921104
   9445/378151: episode: 62, duration: 2.600s, episode steps: 267, steps per second: 103, episode reward: 110.587, mean reward:  0.414 [ 0.087,  0.467], mean action: 16.895 [0.000, 31.000],  loss: 6.188335, mae: 54.712402, mean_q: 58.820709
   9521/378151: episode: 63, duration: 0.803s, episode steps:  76, steps per second:  95, episode reward: 12.779, mean reward:  0.168 [-0.005,  0.310], mean action: 15.737 [0.000, 31.000],  loss: 4.658952, mae: 56.183666, mean_q: 60.603176
   9788/378151: episode: 64, duration: 2.574s, episode steps: 267, steps per second: 104, episode reward: 107.747, mean reward:  0.404 [-0.005,  0.479], mean action: 16.562 [0.000, 30.000],  loss: 6.955115, mae: 57.147049, mean_q: 61.486729
  10055/378151: episode: 65, duration: 2.681s, episode steps: 267, steps per second: 100, episode reward: 112.127, mean reward:  0.420 [ 0.083,  0.479], mean action: 16.787 [0.000, 30.000],  loss: 6.567932, mae: 59.031891, mean_q: 63.439678
  10322/378151: episode: 66, duration: 2.605s, episode steps: 267, steps per second: 102, episode reward: 98.081, mean reward:  0.367 [ 0.065,  0.481], mean action: 16.524 [0.000, 31.000],  loss: 7.819655, mae: 60.861362, mean_q: 65.504356
  10555/378151: episode: 67, duration: 2.381s, episode steps: 233, steps per second:  98, episode reward: 116.730, mean reward:  0.501 [ 0.137,  0.640], mean action: 15.893 [0.000, 31.000],  loss: 8.237954, mae: 62.272404, mean_q: 66.949608
  10628/378151: episode: 68, duration: 0.696s, episode steps:  73, steps per second: 105, episode reward: 16.876, mean reward:  0.231 [-0.005,  0.372], mean action: 17.233 [1.000, 30.000],  loss: 6.612295, mae: 63.377762, mean_q: 68.125496
  10895/378151: episode: 69, duration: 2.651s, episode steps: 267, steps per second: 101, episode reward: 128.047, mean reward:  0.480 [-0.005,  0.650], mean action: 16.375 [0.000, 31.000],  loss: 7.555344, mae: 64.114403, mean_q: 68.687431
  11162/378151: episode: 70, duration: 2.647s, episode steps: 267, steps per second: 101, episode reward: 78.303, mean reward:  0.293 [-0.005,  0.450], mean action: 16.288 [0.000, 31.000],  loss: 10.924420, mae: 65.279724, mean_q: 70.184952
  11429/378151: episode: 71, duration: 2.665s, episode steps: 267, steps per second: 100, episode reward: 132.089, mean reward:  0.495 [-0.005,  0.646], mean action: 16.562 [0.000, 31.000],  loss: 9.526114, mae: 66.684624, mean_q: 71.686317
  11696/378151: episode: 72, duration: 2.678s, episode steps: 267, steps per second: 100, episode reward: 110.118, mean reward:  0.412 [ 0.087,  0.479], mean action: 14.431 [0.000, 31.000],  loss: 9.679554, mae: 68.205696, mean_q: 73.256454
  11963/378151: episode: 73, duration: 2.620s, episode steps: 267, steps per second: 102, episode reward: 148.125, mean reward:  0.555 [ 0.133,  0.650], mean action: 16.277 [0.000, 31.000],  loss: 8.568488, mae: 70.269684, mean_q: 75.455307
  12230/378151: episode: 74, duration: 2.620s, episode steps: 267, steps per second: 102, episode reward: 85.599, mean reward:  0.321 [ 0.116,  0.464], mean action: 16.828 [0.000, 31.000],  loss: 9.143041, mae: 71.793236, mean_q: 76.957382
  12497/378151: episode: 75, duration: 2.604s, episode steps: 267, steps per second: 103, episode reward: 103.197, mean reward:  0.387 [-0.005,  0.488], mean action: 16.060 [0.000, 31.000],  loss: 12.265515, mae: 73.356400, mean_q: 78.841705
  12764/378151: episode: 76, duration: 2.668s, episode steps: 267, steps per second: 100, episode reward: 70.450, mean reward:  0.264 [-0.005,  0.478], mean action: 15.315 [0.000, 31.000],  loss: 9.355790, mae: 74.446129, mean_q: 79.857895
  13031/378151: episode: 77, duration: 2.599s, episode steps: 267, steps per second: 103, episode reward: 113.830, mean reward:  0.426 [ 0.133,  0.481], mean action: 16.311 [0.000, 31.000],  loss: 11.312005, mae: 75.998711, mean_q: 81.472115
  13298/378151: episode: 78, duration: 2.692s, episode steps: 267, steps per second:  99, episode reward: 107.266, mean reward:  0.402 [-0.005,  0.477], mean action: 16.236 [0.000, 31.000],  loss: 10.326487, mae: 77.145035, mean_q: 82.637482
  13509/378151: episode: 79, duration: 2.055s, episode steps: 211, steps per second: 103, episode reward: 87.282, mean reward:  0.414 [ 0.116,  0.466], mean action: 15.867 [0.000, 31.000],  loss: 9.523343, mae: 78.430519, mean_q: 83.983971
  13776/378151: episode: 80, duration: 2.680s, episode steps: 267, steps per second: 100, episode reward: 101.732, mean reward:  0.381 [-0.005,  0.639], mean action: 16.487 [0.000, 31.000],  loss: 11.374366, mae: 79.422569, mean_q: 85.045013
  14043/378151: episode: 81, duration: 2.631s, episode steps: 267, steps per second: 101, episode reward: 43.295, mean reward:  0.162 [-0.005,  0.307], mean action: 14.719 [0.000, 31.000],  loss: 12.783861, mae: 80.630249, mean_q: 86.199234
  14310/378151: episode: 82, duration: 2.669s, episode steps: 267, steps per second: 100, episode reward: 112.140, mean reward:  0.420 [ 0.087,  0.492], mean action: 15.101 [0.000, 31.000],  loss: 11.512012, mae: 81.794708, mean_q: 87.433945
  14571/378151: episode: 83, duration: 2.545s, episode steps: 261, steps per second: 103, episode reward: 101.555, mean reward:  0.389 [-0.005,  0.479], mean action: 14.326 [0.000, 31.000],  loss: 11.117666, mae: 83.025070, mean_q: 88.918350
  14838/378151: episode: 84, duration: 2.674s, episode steps: 267, steps per second: 100, episode reward: 126.405, mean reward:  0.473 [-0.005,  0.636], mean action: 16.195 [1.000, 31.000],  loss: 11.140055, mae: 84.548355, mean_q: 90.449120
  15057/378151: episode: 85, duration: 2.165s, episode steps: 219, steps per second: 101, episode reward: 43.522, mean reward:  0.199 [-0.005,  0.470], mean action: 15.484 [0.000, 31.000],  loss: 14.699059, mae: 85.145996, mean_q: 91.065384
  15324/378151: episode: 86, duration: 2.673s, episode steps: 267, steps per second: 100, episode reward: 92.747, mean reward:  0.347 [-0.005,  0.430], mean action: 13.607 [0.000, 31.000],  loss: 14.066169, mae: 86.344086, mean_q: 92.491882
  15591/378151: episode: 87, duration: 2.639s, episode steps: 267, steps per second: 101, episode reward: 99.410, mean reward:  0.372 [ 0.137,  0.399], mean action: 8.228 [0.000, 31.000],  loss: 12.363694, mae: 88.369202, mean_q: 94.596718
  15858/378151: episode: 88, duration: 2.743s, episode steps: 267, steps per second:  97, episode reward: 106.583, mean reward:  0.399 [ 0.115,  0.466], mean action: 14.592 [0.000, 31.000],  loss: 18.158068, mae: 89.887215, mean_q: 96.287697
  15897/378151: episode: 89, duration: 0.379s, episode steps:  39, steps per second: 103, episode reward: 10.172, mean reward:  0.261 [ 0.087,  0.304], mean action: 15.872 [0.000, 28.000],  loss: 24.960836, mae: 90.872093, mean_q: 97.390221
  16164/378151: episode: 90, duration: 2.698s, episode steps: 267, steps per second:  99, episode reward: 148.178, mean reward:  0.555 [ 0.087,  0.642], mean action: 16.270 [0.000, 31.000],  loss: 14.616721, mae: 91.360008, mean_q: 97.936096
  16431/378151: episode: 91, duration: 2.680s, episode steps: 267, steps per second: 100, episode reward: 145.380, mean reward:  0.544 [ 0.052,  0.638], mean action: 15.536 [0.000, 31.000],  loss: 10.631048, mae: 93.165344, mean_q: 99.609428
  16700/378151: episode: 92, duration: 2.718s, episode steps: 269, steps per second:  99, episode reward: 96.086, mean reward:  0.357 [ 0.116,  0.461], mean action: 14.610 [0.000, 31.000],  loss: 14.534336, mae: 94.535988, mean_q: 101.122223
  16731/378151: episode: 93, duration: 0.299s, episode steps:  31, steps per second: 104, episode reward:  7.722, mean reward:  0.249 [-0.005,  0.306], mean action: 16.484 [0.000, 27.000],  loss: 10.202643, mae: 95.110535, mean_q: 102.047668
  16998/378151: episode: 94, duration: 2.628s, episode steps: 267, steps per second: 102, episode reward: 47.415, mean reward:  0.178 [-0.005,  0.305], mean action: 16.880 [0.000, 31.000],  loss: 19.623705, mae: 95.613739, mean_q: 102.277252
  17069/378151: episode: 95, duration: 0.764s, episode steps:  71, steps per second:  93, episode reward: 16.192, mean reward:  0.228 [-0.005,  0.337], mean action: 15.704 [0.000, 31.000],  loss: 13.599265, mae: 96.095680, mean_q: 102.951729
  17336/378151: episode: 96, duration: 2.688s, episode steps: 267, steps per second:  99, episode reward: 74.014, mean reward:  0.277 [-0.005,  0.330], mean action: 11.390 [0.000, 31.000],  loss: 18.788090, mae: 96.862930, mean_q: 103.755707
  17603/378151: episode: 97, duration: 2.673s, episode steps: 267, steps per second: 100, episode reward: 105.628, mean reward:  0.396 [-0.005,  0.601], mean action: 16.419 [0.000, 31.000],  loss: 21.266088, mae: 97.992447, mean_q: 104.974648
  17870/378151: episode: 98, duration: 2.660s, episode steps: 267, steps per second: 100, episode reward: 46.170, mean reward:  0.173 [-0.005,  0.313], mean action: 16.007 [0.000, 31.000],  loss: 18.930700, mae: 98.752106, mean_q: 105.747101
  18137/378151: episode: 99, duration: 2.637s, episode steps: 267, steps per second: 101, episode reward: 129.393, mean reward:  0.485 [ 0.111,  0.595], mean action: 16.135 [0.000, 31.000],  loss: 28.560720, mae: 99.574196, mean_q: 106.721489
  18227/378151: episode: 100, duration: 0.920s, episode steps:  90, steps per second:  98, episode reward: 21.768, mean reward:  0.242 [-0.005,  0.471], mean action: 18.478 [1.000, 31.000],  loss: 21.106716, mae: 100.481720, mean_q: 107.968643
  18494/378151: episode: 101, duration: 2.587s, episode steps: 267, steps per second: 103, episode reward: 146.571, mean reward:  0.549 [ 0.133,  0.647], mean action: 16.536 [0.000, 31.000],  loss: 19.587141, mae: 101.327019, mean_q: 108.578232
  18585/378151: episode: 102, duration: 0.948s, episode steps:  91, steps per second:  96, episode reward: 18.644, mean reward:  0.205 [-0.005,  0.317], mean action: 16.736 [1.000, 31.000],  loss: 25.495831, mae: 101.379906, mean_q: 108.478111
  18852/378151: episode: 103, duration: 2.608s, episode steps: 267, steps per second: 102, episode reward: 106.355, mean reward:  0.398 [ 0.133,  0.432], mean action: 14.345 [0.000, 31.000],  loss: 23.960491, mae: 102.959846, mean_q: 110.216469
  19119/378151: episode: 104, duration: 2.681s, episode steps: 267, steps per second: 100, episode reward: 78.095, mean reward:  0.292 [-0.005,  0.477], mean action: 16.079 [0.000, 31.000],  loss: 19.824617, mae: 104.282127, mean_q: 111.598930
  19386/378151: episode: 105, duration: 2.642s, episode steps: 267, steps per second: 101, episode reward: 75.463, mean reward:  0.283 [-0.005,  0.531], mean action: 16.693 [0.000, 31.000],  loss: 26.106512, mae: 105.220444, mean_q: 112.689194
  19653/378151: episode: 106, duration: 2.706s, episode steps: 267, steps per second:  99, episode reward: 47.456, mean reward:  0.178 [-0.005,  0.292], mean action: 14.828 [0.000, 31.000],  loss: 27.284124, mae: 105.795883, mean_q: 113.207413
  19920/378151: episode: 107, duration: 2.665s, episode steps: 267, steps per second: 100, episode reward: 101.387, mean reward:  0.380 [-0.005,  0.457], mean action: 13.075 [0.000, 31.000],  loss: 15.851146, mae: 106.589394, mean_q: 113.841583
  20111/378151: episode: 108, duration: 1.915s, episode steps: 191, steps per second: 100, episode reward: 46.177, mean reward:  0.242 [-0.005,  0.362], mean action: 14.089 [0.000, 31.000],  loss: 18.574501, mae: 108.251320, mean_q: 115.678276
  20378/378151: episode: 109, duration: 2.594s, episode steps: 267, steps per second: 103, episode reward: 58.985, mean reward:  0.221 [-0.005,  0.426], mean action: 15.390 [0.000, 31.000],  loss: 24.190575, mae: 108.369446, mean_q: 116.112831
  20645/378151: episode: 110, duration: 2.725s, episode steps: 267, steps per second:  98, episode reward: 87.439, mean reward:  0.327 [-0.005,  0.401], mean action: 10.498 [0.000, 30.000],  loss: 28.382868, mae: 108.621399, mean_q: 116.310616
  20912/378151: episode: 111, duration: 2.636s, episode steps: 267, steps per second: 101, episode reward: 103.282, mean reward:  0.387 [-0.005,  0.455], mean action: 15.910 [0.000, 31.000],  loss: 22.354265, mae: 109.819977, mean_q: 117.580040
  21082/378151: episode: 112, duration: 1.737s, episode steps: 170, steps per second:  98, episode reward: 23.976, mean reward:  0.141 [-0.005,  0.345], mean action: 14.971 [0.000, 31.000],  loss: 32.344021, mae: 110.371025, mean_q: 118.282928
  21349/378151: episode: 113, duration: 2.695s, episode steps: 267, steps per second:  99, episode reward: 121.282, mean reward:  0.454 [ 0.116,  0.483], mean action: 14.184 [0.000, 31.000],  loss: 25.491068, mae: 111.302612, mean_q: 119.352501
  21616/378151: episode: 114, duration: 2.734s, episode steps: 267, steps per second:  98, episode reward: 109.662, mean reward:  0.411 [-0.005,  0.452], mean action: 15.963 [0.000, 31.000],  loss: 23.324408, mae: 112.360519, mean_q: 120.241180
  21753/378151: episode: 115, duration: 1.330s, episode steps: 137, steps per second: 103, episode reward: 45.733, mean reward:  0.334 [ 0.116,  0.409], mean action: 13.547 [0.000, 31.000],  loss: 26.687216, mae: 113.759384, mean_q: 122.001442
  22020/378151: episode: 116, duration: 2.719s, episode steps: 267, steps per second:  98, episode reward: 113.103, mean reward:  0.424 [ 0.017,  0.615], mean action: 16.236 [0.000, 31.000],  loss: 23.167059, mae: 114.573257, mean_q: 122.595695
  22287/378151: episode: 117, duration: 2.610s, episode steps: 267, steps per second: 102, episode reward: 106.027, mean reward:  0.397 [-0.005,  0.481], mean action: 16.558 [0.000, 31.000],  loss: 25.697735, mae: 115.508293, mean_q: 123.567886
