Training for 100000 steps ...
     7/100000: episode: 1, duration: 0.064s, episode steps:   7, steps per second: 109, episode reward:  0.056, mean reward:  0.008 [ 0.002,  0.014], mean action: 16.143 [2.000, 30.000],  loss: --, mae: --, mean_q: --
  1987/100000: episode: 16, duration: 0.658s, episode steps:  75, steps per second: 114, episode reward:  0.105, mean reward:  0.001 [-0.001,  0.014], mean action: 15.413 [0.000, 30.000],  loss: 0.004286, mae: 1.146846, mean_q: 1.377424
  2254/100000: episode: 17, duration: 2.401s, episode steps: 267, steps per second: 111, episode reward:  0.193, mean reward:  0.001 [ 0.000,  0.013], mean action: 16.176 [0.000, 31.000],  loss: 0.006157, mae: 1.341617, mean_q: 1.581274
  2483/100000: episode: 18, duration: 2.026s, episode steps: 229, steps per second: 113, episode reward:  0.134, mean reward:  0.001 [-0.001,  0.011], mean action: 14.354 [0.000, 31.000],  loss: 0.009094, mae: 1.653526, mean_q: 1.933839
  2698/100000: episode: 19, duration: 1.908s, episode steps: 215, steps per second: 113, episode reward:  0.129, mean reward:  0.001 [-0.001,  0.011], mean action: 14.670 [0.000, 31.000],  loss: 0.011784, mae: 1.953292, mean_q: 2.247170
  2939/100000: episode: 20, duration: 2.222s, episode steps: 241, steps per second: 108, episode reward:  0.118, mean reward:  0.000 [-0.001,  0.009], mean action: 15.029 [0.000, 31.000],  loss: 0.017565, mae: 2.324603, mean_q: 2.684940
  2971/100000: episode: 21, duration: 0.340s, episode steps:  32, steps per second:  94, episode reward:  0.055, mean reward:  0.002 [ 0.000,  0.008], mean action: 15.594 [0.000, 31.000],  loss: 0.022792, mae: 2.546929, mean_q: 2.936439
  3105/100000: episode: 22, duration: 1.229s, episode steps: 134, steps per second: 109, episode reward:  0.151, mean reward:  0.001 [-0.001,  0.015], mean action: 17.119 [0.000, 31.000],  loss: 0.024895, mae: 2.751530, mean_q: 3.159147
  3200/100000: episode: 23, duration: 0.832s, episode steps:  95, steps per second: 114, episode reward:  0.176, mean reward:  0.002 [-0.001,  0.012], mean action: 17.137 [0.000, 31.000],  loss: 0.028778, mae: 2.972293, mean_q: 3.404829
  3467/100000: episode: 24, duration: 2.403s, episode steps: 267, steps per second: 111, episode reward:  0.326, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.753 [0.000, 31.000],  loss: 0.030207, mae: 3.287783, mean_q: 3.710100
  3536/100000: episode: 25, duration: 0.622s, episode steps:  69, steps per second: 111, episode reward:  0.183, mean reward:  0.003 [ 0.000,  0.012], mean action: 17.072 [0.000, 31.000],  loss: 0.031967, mae: 3.536036, mean_q: 3.983180
  3721/100000: episode: 26, duration: 1.633s, episode steps: 185, steps per second: 113, episode reward:  0.124, mean reward:  0.001 [-0.001,  0.014], mean action: 16.649 [0.000, 31.000],  loss: 0.046953, mae: 3.757640, mean_q: 4.231769
  3988/100000: episode: 27, duration: 2.376s, episode steps: 267, steps per second: 112, episode reward:  0.202, mean reward:  0.001 [ 0.000,  0.013], mean action: 15.768 [0.000, 31.000],  loss: 0.045784, mae: 4.177330, mean_q: 4.674919
  4068/100000: episode: 28, duration: 0.696s, episode steps:  80, steps per second: 115, episode reward:  0.096, mean reward:  0.001 [-0.001,  0.010], mean action: 15.613 [0.000, 31.000],  loss: 0.048936, mae: 4.490245, mean_q: 4.981751
  4178/100000: episode: 29, duration: 0.999s, episode steps: 110, steps per second: 110, episode reward:  0.136, mean reward:  0.001 [-0.001,  0.013], mean action: 14.900 [0.000, 31.000],  loss: 0.053089, mae: 4.651639, mean_q: 5.176097
  4238/100000: episode: 30, duration: 0.533s, episode steps:  60, steps per second: 113, episode reward:  0.089, mean reward:  0.001 [-0.001,  0.011], mean action: 14.300 [0.000, 31.000],  loss: 0.061216, mae: 4.842102, mean_q: 5.371991
  4257/100000: episode: 31, duration: 0.225s, episode steps:  19, steps per second:  85, episode reward:  0.055, mean reward:  0.003 [ 0.000,  0.008], mean action: 18.000 [8.000, 30.000],  loss: 0.034945, mae: 4.892656, mean_q: 5.465059
  4489/100000: episode: 32, duration: 2.039s, episode steps: 232, steps per second: 114, episode reward:  0.177, mean reward:  0.001 [-0.000,  0.014], mean action: 15.112 [0.000, 31.000],  loss: 0.053495, mae: 5.068513, mean_q: 5.595172
  4569/100000: episode: 33, duration: 0.697s, episode steps:  80, steps per second: 115, episode reward:  0.159, mean reward:  0.002 [ 0.000,  0.009], mean action: 15.200 [0.000, 31.000],  loss: 0.076283, mae: 5.243059, mean_q: 5.829888
  4583/100000: episode: 34, duration: 0.129s, episode steps:  14, steps per second: 108, episode reward:  0.049, mean reward:  0.004 [-0.001,  0.009], mean action: 22.071 [12.000, 27.000],  loss: 0.101873, mae: 5.327899, mean_q: 5.871900
  4607/100000: episode: 35, duration: 0.265s, episode steps:  24, steps per second:  90, episode reward:  0.051, mean reward:  0.002 [-0.001,  0.007], mean action: 16.208 [0.000, 31.000],  loss: 0.067436, mae: 5.359774, mean_q: 5.924732
  4708/100000: episode: 36, duration: 0.878s, episode steps: 101, steps per second: 115, episode reward:  0.154, mean reward:  0.002 [-0.000,  0.011], mean action: 16.178 [0.000, 31.000],  loss: 0.106786, mae: 5.492516, mean_q: 6.100157
  4769/100000: episode: 37, duration: 0.595s, episode steps:  61, steps per second: 103, episode reward:  0.053, mean reward:  0.001 [ 0.000,  0.007], mean action: 15.049 [0.000, 31.000],  loss: 0.114025, mae: 5.681316, mean_q: 6.322085
  5026/100000: episode: 38, duration: 2.251s, episode steps: 257, steps per second: 114, episode reward:  0.358, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.105 [0.000, 31.000],  loss: 0.095735, mae: 5.865439, mean_q: 6.493894
  5201/100000: episode: 39, duration: 1.556s, episode steps: 175, steps per second: 112, episode reward:  0.199, mean reward:  0.001 [-0.001,  0.010], mean action: 15.200 [0.000, 31.000],  loss: 0.131815, mae: 6.238253, mean_q: 6.917367
  5382/100000: episode: 40, duration: 1.613s, episode steps: 181, steps per second: 112, episode reward:  0.356, mean reward:  0.002 [ 0.000,  0.011], mean action: 16.602 [0.000, 31.000],  loss: 0.142872, mae: 6.567261, mean_q: 7.271720
  5540/100000: episode: 41, duration: 1.405s, episode steps: 158, steps per second: 112, episode reward:  0.118, mean reward:  0.001 [-0.001,  0.010], mean action: 16.677 [0.000, 31.000],  loss: 0.133924, mae: 6.895301, mean_q: 7.619874
  5645/100000: episode: 42, duration: 0.964s, episode steps: 105, steps per second: 109, episode reward:  0.174, mean reward:  0.002 [-0.001,  0.011], mean action: 15.676 [0.000, 31.000],  loss: 0.131953, mae: 7.202263, mean_q: 7.965684
  5839/100000: episode: 43, duration: 1.715s, episode steps: 194, steps per second: 113, episode reward:  0.156, mean reward:  0.001 [-0.001,  0.010], mean action: 15.258 [0.000, 31.000],  loss: 0.144730, mae: 7.482777, mean_q: 8.214155
  5952/100000: episode: 44, duration: 1.032s, episode steps: 113, steps per second: 109, episode reward:  0.135, mean reward:  0.001 [-0.001,  0.010], mean action: 14.903 [0.000, 31.000],  loss: 0.169850, mae: 7.703522, mean_q: 8.490075
  5989/100000: episode: 45, duration: 0.330s, episode steps:  37, steps per second: 112, episode reward:  0.070, mean reward:  0.002 [-0.001,  0.009], mean action: 15.784 [0.000, 31.000],  loss: 0.147773, mae: 7.945819, mean_q: 8.693787
  5999/100000: episode: 46, duration: 0.097s, episode steps:  10, steps per second: 103, episode reward:  0.064, mean reward:  0.006 [ 0.000,  0.013], mean action: 13.100 [0.000, 28.000],  loss: 0.179992, mae: 8.075836, mean_q: 8.894009
  6080/100000: episode: 47, duration: 0.703s, episode steps:  81, steps per second: 115, episode reward:  0.158, mean reward:  0.002 [ 0.000,  0.013], mean action: 16.309 [0.000, 31.000],  loss: 0.155556, mae: 8.053830, mean_q: 8.954893
  6104/100000: episode: 48, duration: 0.214s, episode steps:  24, steps per second: 112, episode reward:  0.056, mean reward:  0.002 [-0.001,  0.009], mean action: 15.625 [0.000, 30.000],  loss: 0.187567, mae: 8.280910, mean_q: 9.176239
  6189/100000: episode: 49, duration: 0.781s, episode steps:  85, steps per second: 109, episode reward:  0.055, mean reward:  0.001 [-0.000,  0.010], mean action: 17.000 [0.000, 31.000],  loss: 0.211161, mae: 8.390080, mean_q: 9.258457
  6228/100000: episode: 50, duration: 0.335s, episode steps:  39, steps per second: 117, episode reward:  0.052, mean reward:  0.001 [ 0.000,  0.013], mean action: 12.795 [0.000, 31.000],  loss: 0.164039, mae: 8.519521, mean_q: 9.411174
  6439/100000: episode: 51, duration: 1.880s, episode steps: 211, steps per second: 112, episode reward:  0.348, mean reward:  0.002 [-0.001,  0.011], mean action: 14.351 [0.000, 31.000],  loss: 0.215801, mae: 8.789937, mean_q: 9.668702
  6616/100000: episode: 52, duration: 1.586s, episode steps: 177, steps per second: 112, episode reward:  0.173, mean reward:  0.001 [-0.000,  0.010], mean action: 16.073 [0.000, 31.000],  loss: 0.234094, mae: 9.214267, mean_q: 10.145709
  6729/100000: episode: 53, duration: 1.040s, episode steps: 113, steps per second: 109, episode reward:  0.107, mean reward:  0.001 [-0.001,  0.007], mean action: 14.929 [0.000, 31.000],  loss: 0.236795, mae: 9.541314, mean_q: 10.483420
  6892/100000: episode: 54, duration: 1.457s, episode steps: 163, steps per second: 112, episode reward:  0.147, mean reward:  0.001 [-0.001,  0.012], mean action: 15.454 [0.000, 31.000],  loss: 0.297243, mae: 9.881795, mean_q: 10.900824
  6915/100000: episode: 55, duration: 0.208s, episode steps:  23, steps per second: 110, episode reward:  0.051, mean reward:  0.002 [-0.000,  0.011], mean action: 13.348 [0.000, 31.000],  loss: 0.299945, mae: 10.205367, mean_q: 11.223732
  7103/100000: episode: 56, duration: 1.681s, episode steps: 188, steps per second: 112, episode reward:  0.344, mean reward:  0.002 [ 0.000,  0.012], mean action: 14.840 [0.000, 31.000],  loss: 0.334770, mae: 10.420183, mean_q: 11.475651
  7270/100000: episode: 57, duration: 1.503s, episode steps: 167, steps per second: 111, episode reward:  0.335, mean reward:  0.002 [-0.001,  0.014], mean action: 14.982 [0.000, 31.000],  loss: 0.352747, mae: 10.857436, mean_q: 11.986386
  7370/100000: episode: 58, duration: 0.919s, episode steps: 100, steps per second: 109, episode reward:  0.157, mean reward:  0.002 [-0.001,  0.011], mean action: 16.730 [0.000, 31.000],  loss: 0.321080, mae: 11.191745, mean_q: 12.379607
  7637/100000: episode: 59, duration: 2.348s, episode steps: 267, steps per second: 114, episode reward:  0.123, mean reward:  0.000 [ 0.000,  0.008], mean action: 15.221 [0.000, 31.000],  loss: 0.325168, mae: 11.727242, mean_q: 12.914026
  7701/100000: episode: 60, duration: 0.608s, episode steps:  64, steps per second: 105, episode reward:  0.089, mean reward:  0.001 [-0.001,  0.009], mean action: 14.844 [0.000, 31.000],  loss: 0.412198, mae: 12.222429, mean_q: 13.393273
  7752/100000: episode: 61, duration: 0.461s, episode steps:  51, steps per second: 111, episode reward:  0.057, mean reward:  0.001 [-0.001,  0.009], mean action: 14.569 [0.000, 31.000],  loss: 0.346288, mae: 12.328241, mean_q: 13.527868
  7801/100000: episode: 62, duration: 0.428s, episode steps:  49, steps per second: 114, episode reward:  0.063, mean reward:  0.001 [ 0.000,  0.011], mean action: 14.224 [0.000, 31.000],  loss: 0.392360, mae: 12.562243, mean_q: 13.902840
  7884/100000: episode: 63, duration: 0.786s, episode steps:  83, steps per second: 106, episode reward:  0.109, mean reward:  0.001 [-0.001,  0.008], mean action: 15.867 [0.000, 31.000],  loss: 0.400951, mae: 12.843655, mean_q: 14.118441
  7983/100000: episode: 64, duration: 0.906s, episode steps:  99, steps per second: 109, episode reward:  0.178, mean reward:  0.002 [-0.001,  0.012], mean action: 14.222 [0.000, 31.000],  loss: 0.535562, mae: 13.156992, mean_q: 14.454802
  8113/100000: episode: 65, duration: 1.123s, episode steps: 130, steps per second: 116, episode reward:  0.158, mean reward:  0.001 [ 0.000,  0.012], mean action: 14.869 [0.000, 31.000],  loss: 0.533451, mae: 13.554171, mean_q: 14.870974
  8380/100000: episode: 66, duration: 2.413s, episode steps: 267, steps per second: 111, episode reward:  0.269, mean reward:  0.001 [ 0.000,  0.011], mean action: 16.206 [0.000, 31.000],  loss: 0.542813, mae: 14.194886, mean_q: 15.559426
  8647/100000: episode: 67, duration: 2.367s, episode steps: 267, steps per second: 113, episode reward:  0.220, mean reward:  0.001 [ 0.000,  0.011], mean action: 16.236 [0.000, 31.000],  loss: 0.715865, mae: 15.200384, mean_q: 16.644312
  8681/100000: episode: 68, duration: 0.366s, episode steps:  34, steps per second:  93, episode reward:  0.092, mean reward:  0.003 [-0.001,  0.010], mean action: 17.294 [0.000, 30.000],  loss: 0.800772, mae: 15.706923, mean_q: 17.245283
  8948/100000: episode: 69, duration: 2.331s, episode steps: 267, steps per second: 115, episode reward:  0.145, mean reward:  0.001 [ 0.000,  0.009], mean action: 16.670 [0.000, 31.000],  loss: 0.712815, mae: 16.429951, mean_q: 17.975908
  9064/100000: episode: 70, duration: 1.065s, episode steps: 116, steps per second: 109, episode reward:  0.112, mean reward:  0.001 [-0.001,  0.009], mean action: 14.500 [0.000, 31.000],  loss: 0.814303, mae: 17.287300, mean_q: 18.886051
  9331/100000: episode: 71, duration: 2.427s, episode steps: 267, steps per second: 110, episode reward:  0.153, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.427 [0.000, 31.000],  loss: 0.772294, mae: 18.042683, mean_q: 19.733438
  9598/100000: episode: 72, duration: 2.368s, episode steps: 267, steps per second: 113, episode reward:  0.273, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.300 [0.000, 31.000],  loss: 0.962452, mae: 19.025814, mean_q: 20.760412
  9718/100000: episode: 73, duration: 1.079s, episode steps: 120, steps per second: 111, episode reward:  0.157, mean reward:  0.001 [ 0.000,  0.008], mean action: 15.042 [0.000, 31.000],  loss: 1.133222, mae: 19.746151, mean_q: 21.560160
  9985/100000: episode: 74, duration: 2.373s, episode steps: 267, steps per second: 113, episode reward:  0.222, mean reward:  0.001 [ 0.000,  0.009], mean action: 15.022 [0.000, 31.000],  loss: 1.164359, mae: 20.494196, mean_q: 22.383339
 10133/100000: episode: 75, duration: 1.333s, episode steps: 148, steps per second: 111, episode reward:  0.154, mean reward:  0.001 [-0.001,  0.012], mean action: 16.061 [0.000, 31.000],  loss: 1.160426, mae: 21.597862, mean_q: 23.593473
 10400/100000: episode: 76, duration: 2.396s, episode steps: 267, steps per second: 111, episode reward:  0.052, mean reward:  0.000 [ 0.000,  0.008], mean action: 15.423 [0.000, 31.000],  loss: 1.194751, mae: 22.703794, mean_q: 24.696701
 10441/100000: episode: 77, duration: 0.363s, episode steps:  41, steps per second: 113, episode reward:  0.054, mean reward:  0.001 [-0.001,  0.009], mean action: 15.317 [0.000, 31.000],  loss: 1.033612, mae: 23.372166, mean_q: 25.454729
 10692/100000: episode: 78, duration: 2.254s, episode steps: 251, steps per second: 111, episode reward:  0.164, mean reward:  0.001 [-0.001,  0.009], mean action: 15.745 [0.000, 31.000],  loss: 1.483224, mae: 23.899780, mean_q: 25.939756
 10959/100000: episode: 79, duration: 2.347s, episode steps: 267, steps per second: 114, episode reward:  0.334, mean reward:  0.001 [ 0.000,  0.013], mean action: 16.446 [0.000, 31.000],  loss: 1.248545, mae: 24.935427, mean_q: 27.035957
 11226/100000: episode: 80, duration: 2.405s, episode steps: 267, steps per second: 111, episode reward:  0.173, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.468 [0.000, 31.000],  loss: 1.633999, mae: 26.035635, mean_q: 28.250595
 11429/100000: episode: 81, duration: 1.818s, episode steps: 203, steps per second: 112, episode reward:  0.164, mean reward:  0.001 [-0.001,  0.012], mean action: 14.877 [0.000, 31.000],  loss: 1.405105, mae: 27.125896, mean_q: 29.437803
 11696/100000: episode: 82, duration: 2.418s, episode steps: 267, steps per second: 110, episode reward:  0.484, mean reward:  0.002 [ 0.000,  0.013], mean action: 16.427 [0.000, 31.000],  loss: 1.550045, mae: 28.186903, mean_q: 30.587214
 11739/100000: episode: 83, duration: 0.383s, episode steps:  43, steps per second: 112, episode reward:  0.154, mean reward:  0.004 [ 0.000,  0.011], mean action: 15.651 [0.000, 31.000],  loss: 1.361214, mae: 28.775078, mean_q: 31.135365
 11951/100000: episode: 84, duration: 1.853s, episode steps: 212, steps per second: 114, episode reward:  0.151, mean reward:  0.001 [-0.001,  0.011], mean action: 15.458 [0.000, 31.000],  loss: 1.671976, mae: 29.462826, mean_q: 31.958141
 12099/100000: episode: 85, duration: 1.335s, episode steps: 148, steps per second: 111, episode reward:  0.352, mean reward:  0.002 [-0.001,  0.013], mean action: 16.047 [0.000, 31.000],  loss: 1.799955, mae: 30.470301, mean_q: 32.988552
 12252/100000: episode: 86, duration: 1.388s, episode steps: 153, steps per second: 110, episode reward:  0.336, mean reward:  0.002 [ 0.000,  0.011], mean action: 14.353 [0.000, 31.000],  loss: 2.278883, mae: 30.922798, mean_q: 33.449066
 12471/100000: episode: 87, duration: 1.945s, episode steps: 219, steps per second: 113, episode reward:  0.154, mean reward:  0.001 [ 0.000,  0.007], mean action: 15.927 [0.000, 31.000],  loss: 1.654408, mae: 32.016758, mean_q: 34.623611
 12738/100000: episode: 88, duration: 2.393s, episode steps: 267, steps per second: 112, episode reward:  0.226, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.757 [0.000, 31.000],  loss: 2.099308, mae: 32.996979, mean_q: 35.660236
 13005/100000: episode: 89, duration: 2.352s, episode steps: 267, steps per second: 114, episode reward:  0.330, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.468 [0.000, 31.000],  loss: 2.305401, mae: 34.144947, mean_q: 36.842083
 13126/100000: episode: 90, duration: 1.097s, episode steps: 121, steps per second: 110, episode reward:  0.084, mean reward:  0.001 [-0.001,  0.008], mean action: 15.273 [0.000, 31.000],  loss: 1.843117, mae: 35.020969, mean_q: 37.773323
 13213/100000: episode: 91, duration: 0.750s, episode steps:  87, steps per second: 116, episode reward:  0.051, mean reward:  0.001 [-0.001,  0.009], mean action: 17.632 [0.000, 31.000],  loss: 3.139418, mae: 35.461655, mean_q: 38.238720
 13480/100000: episode: 92, duration: 2.430s, episode steps: 267, steps per second: 110, episode reward:  0.132, mean reward:  0.000 [ 0.000,  0.011], mean action: 15.348 [0.000, 31.000],  loss: 1.879592, mae: 36.263218, mean_q: 39.088943
 13521/100000: episode: 93, duration: 0.366s, episode steps:  41, steps per second: 112, episode reward:  0.053, mean reward:  0.001 [ 0.000,  0.013], mean action: 17.951 [1.000, 31.000],  loss: 2.637227, mae: 36.787006, mean_q: 39.815697
 13654/100000: episode: 94, duration: 1.210s, episode steps: 133, steps per second: 110, episode reward:  0.156, mean reward:  0.001 [-0.001,  0.008], mean action: 14.120 [0.000, 31.000],  loss: 2.255343, mae: 37.295437, mean_q: 40.240185
 13921/100000: episode: 95, duration: 2.435s, episode steps: 267, steps per second: 110, episode reward:  0.163, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.277 [0.000, 31.000],  loss: 3.239635, mae: 38.029774, mean_q: 41.033691
 14191/100000: episode: 96, duration: 2.411s, episode steps: 270, steps per second: 112, episode reward:  0.140, mean reward:  0.001 [ 0.000,  0.008], mean action: 15.863 [0.000, 31.000],  loss: 3.191356, mae: 38.962776, mean_q: 42.017742
 14458/100000: episode: 97, duration: 2.432s, episode steps: 267, steps per second: 110, episode reward:  0.089, mean reward:  0.000 [ 0.000,  0.011], mean action: 15.625 [0.000, 31.000],  loss: 3.595987, mae: 40.032715, mean_q: 43.190269
 14725/100000: episode: 98, duration: 2.385s, episode steps: 267, steps per second: 112, episode reward:  0.162, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.742 [0.000, 31.000],  loss: 4.194495, mae: 41.297989, mean_q: 44.460945
 14992/100000: episode: 99, duration: 2.416s, episode steps: 267, steps per second: 111, episode reward:  0.151, mean reward:  0.001 [ 0.000,  0.012], mean action: 16.491 [0.000, 31.000],  loss: 3.360347, mae: 42.475334, mean_q: 45.834724
 15259/100000: episode: 100, duration: 2.364s, episode steps: 267, steps per second: 113, episode reward:  0.342, mean reward:  0.001 [ 0.000,  0.009], mean action: 15.146 [0.000, 31.000],  loss: 4.524934, mae: 43.660133, mean_q: 47.026749
 15526/100000: episode: 101, duration: 2.467s, episode steps: 267, steps per second: 108, episode reward:  0.052, mean reward:  0.000 [ 0.000,  0.006], mean action: 14.712 [0.000, 31.000],  loss: 3.282139, mae: 44.826019, mean_q: 48.272091
 15793/100000: episode: 102, duration: 2.437s, episode steps: 267, steps per second: 110, episode reward:  0.063, mean reward:  0.000 [ 0.000,  0.011], mean action: 15.330 [0.000, 31.000],  loss: 4.554413, mae: 45.674046, mean_q: 49.100742
 16060/100000: episode: 103, duration: 2.383s, episode steps: 267, steps per second: 112, episode reward:  0.156, mean reward:  0.001 [ 0.000,  0.009], mean action: 15.266 [0.000, 31.000],  loss: 4.413468, mae: 47.063885, mean_q: 50.757980
 16327/100000: episode: 104, duration: 2.448s, episode steps: 267, steps per second: 109, episode reward:  0.127, mean reward:  0.000 [ 0.000,  0.009], mean action: 14.805 [0.000, 31.000],  loss: 5.745122, mae: 48.354824, mean_q: 52.128838
 16594/100000: episode: 105, duration: 2.377s, episode steps: 267, steps per second: 112, episode reward:  0.175, mean reward:  0.001 [ 0.000,  0.013], mean action: 15.228 [0.000, 31.000],  loss: 4.856081, mae: 49.563274, mean_q: 53.391041
 16607/100000: episode: 106, duration: 0.123s, episode steps:  13, steps per second: 106, episode reward:  0.050, mean reward:  0.004 [-0.001,  0.009], mean action: 10.462 [0.000, 30.000],  loss: 17.445976, mae: 49.804993, mean_q: 53.520615
 16874/100000: episode: 107, duration: 2.429s, episode steps: 267, steps per second: 110, episode reward:  0.163, mean reward:  0.001 [ 0.000,  0.008], mean action: 15.993 [0.000, 31.000],  loss: 6.138186, mae: 50.472954, mean_q: 54.357254
 17141/100000: episode: 108, duration: 2.427s, episode steps: 267, steps per second: 110, episode reward:  0.169, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.742 [0.000, 31.000],  loss: 7.197206, mae: 51.610680, mean_q: 55.590988
 17408/100000: episode: 109, duration: 2.371s, episode steps: 267, steps per second: 113, episode reward:  0.135, mean reward:  0.001 [ 0.000,  0.011], mean action: 17.026 [0.000, 31.000],  loss: 7.565957, mae: 52.817539, mean_q: 56.877098
 17568/100000: episode: 110, duration: 1.454s, episode steps: 160, steps per second: 110, episode reward:  0.109, mean reward:  0.001 [-0.001,  0.010], mean action: 16.012 [0.000, 31.000],  loss: 8.768049, mae: 53.789623, mean_q: 57.850292
 17835/100000: episode: 111, duration: 2.470s, episode steps: 267, steps per second: 108, episode reward:  0.063, mean reward:  0.000 [ 0.000,  0.009], mean action: 15.412 [0.000, 31.000],  loss: 7.382720, mae: 54.508274, mean_q: 58.753708
 18102/100000: episode: 112, duration: 2.379s, episode steps: 267, steps per second: 112, episode reward:  0.137, mean reward:  0.001 [ 0.000,  0.011], mean action: 16.221 [0.000, 31.000],  loss: 9.188597, mae: 55.918488, mean_q: 60.245369
 18159/100000: episode: 113, duration: 0.555s, episode steps:  57, steps per second: 103, episode reward:  0.092, mean reward:  0.002 [-0.001,  0.010], mean action: 15.088 [0.000, 30.000],  loss: 6.197087, mae: 56.575611, mean_q: 60.847507
 18426/100000: episode: 114, duration: 2.359s, episode steps: 267, steps per second: 113, episode reward:  0.167, mean reward:  0.001 [ 0.000,  0.009], mean action: 13.925 [0.000, 31.000],  loss: 8.271115, mae: 57.561306, mean_q: 61.928062
 18657/100000: episode: 115, duration: 2.066s, episode steps: 231, steps per second: 112, episode reward:  0.107, mean reward:  0.000 [-0.001,  0.008], mean action: 15.797 [0.000, 31.000],  loss: 7.941015, mae: 58.711391, mean_q: 63.147472
 18924/100000: episode: 116, duration: 2.430s, episode steps: 267, steps per second: 110, episode reward:  0.347, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.348 [0.000, 31.000],  loss: 9.927374, mae: 59.814293, mean_q: 64.414093
 19107/100000: episode: 117, duration: 1.658s, episode steps: 183, steps per second: 110, episode reward:  0.159, mean reward:  0.001 [-0.001,  0.011], mean action: 16.426 [0.000, 31.000],  loss: 9.873252, mae: 60.526470, mean_q: 65.140312
