Training for 100000 steps ...
    91/100000: episode: 1, duration: 1.171s, episode steps:  91, steps per second:  78, episode reward:  0.052, mean reward:  0.001 [-0.001,  0.006], mean action: 15.538 [0.000, 31.000],  loss: --, mae: --, mean_q: --
  6339/100000: episode: 45, duration: 2.363s, episode steps: 267, steps per second: 113, episode reward:  0.256, mean reward:  0.001 [ 0.000,  0.014], mean action: 16.337 [0.000, 31.000],  loss: 0.062696, mae: 4.507358, mean_q: 5.009317
  6357/100000: episode: 46, duration: 0.165s, episode steps:  18, steps per second: 109, episode reward:  0.054, mean reward:  0.003 [ 0.000,  0.007], mean action: 17.611 [2.000, 31.000],  loss: 0.033697, mae: 4.760324, mean_q: 5.291822
  6451/100000: episode: 47, duration: 0.879s, episode steps:  94, steps per second: 107, episode reward:  0.100, mean reward:  0.001 [-0.001,  0.010], mean action: 15.894 [1.000, 31.000],  loss: 0.060905, mae: 4.862811, mean_q: 5.367200
  6718/100000: episode: 48, duration: 2.461s, episode steps: 267, steps per second: 109, episode reward:  0.307, mean reward:  0.001 [ 0.000,  0.014], mean action: 15.236 [0.000, 31.000],  loss: 0.076275, mae: 5.154343, mean_q: 5.711696
  6854/100000: episode: 49, duration: 1.256s, episode steps: 136, steps per second: 108, episode reward:  0.139, mean reward:  0.001 [-0.001,  0.011], mean action: 17.022 [0.000, 31.000],  loss: 0.080927, mae: 5.506285, mean_q: 6.101087
  7015/100000: episode: 50, duration: 1.463s, episode steps: 161, steps per second: 110, episode reward:  0.155, mean reward:  0.001 [-0.001,  0.014], mean action: 16.584 [0.000, 31.000],  loss: 0.136432, mae: 5.837047, mean_q: 6.520575
  7179/100000: episode: 51, duration: 1.521s, episode steps: 164, steps per second: 108, episode reward:  0.166, mean reward:  0.001 [-0.001,  0.013], mean action: 14.683 [0.000, 31.000],  loss: 0.115563, mae: 6.268730, mean_q: 6.964829
  7246/100000: episode: 52, duration: 0.597s, episode steps:  67, steps per second: 112, episode reward:  0.164, mean reward:  0.002 [-0.001,  0.015], mean action: 14.851 [0.000, 31.000],  loss: 0.110839, mae: 6.533746, mean_q: 7.270350
  7336/100000: episode: 53, duration: 0.827s, episode steps:  90, steps per second: 109, episode reward:  0.096, mean reward:  0.001 [-0.001,  0.011], mean action: 14.856 [0.000, 31.000],  loss: 0.143625, mae: 6.752900, mean_q: 7.529758
  7379/100000: episode: 54, duration: 0.386s, episode steps:  43, steps per second: 111, episode reward:  0.091, mean reward:  0.002 [-0.001,  0.008], mean action: 12.233 [0.000, 30.000],  loss: 0.208867, mae: 6.958725, mean_q: 7.802058
  7425/100000: episode: 55, duration: 0.451s, episode steps:  46, steps per second: 102, episode reward:  0.078, mean reward:  0.002 [-0.001,  0.012], mean action: 13.826 [1.000, 31.000],  loss: 0.191616, mae: 7.087305, mean_q: 7.944168
  7549/100000: episode: 56, duration: 1.063s, episode steps: 124, steps per second: 117, episode reward:  0.359, mean reward:  0.003 [-0.001,  0.012], mean action: 16.331 [0.000, 31.000],  loss: 0.252867, mae: 7.357166, mean_q: 8.240164
  7698/100000: episode: 57, duration: 1.346s, episode steps: 149, steps per second: 111, episode reward:  0.334, mean reward:  0.002 [-0.001,  0.013], mean action: 16.275 [0.000, 31.000],  loss: 0.176205, mae: 7.742599, mean_q: 8.598245
  7713/100000: episode: 58, duration: 0.140s, episode steps:  15, steps per second: 107, episode reward:  0.057, mean reward:  0.004 [ 0.000,  0.009], mean action: 15.267 [1.000, 30.000],  loss: 0.149031, mae: 7.985223, mean_q: 8.928500
  7975/100000: episode: 59, duration: 2.281s, episode steps: 262, steps per second: 115, episode reward:  0.180, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.046 [0.000, 31.000],  loss: 0.184802, mae: 8.288881, mean_q: 9.099401
  8242/100000: episode: 60, duration: 2.328s, episode steps: 267, steps per second: 115, episode reward:  0.277, mean reward:  0.001 [ 0.000,  0.013], mean action: 16.929 [0.000, 31.000],  loss: 0.275432, mae: 8.775780, mean_q: 9.703195
  8349/100000: episode: 61, duration: 0.927s, episode steps: 107, steps per second: 115, episode reward:  0.175, mean reward:  0.002 [-0.001,  0.012], mean action: 13.121 [0.000, 30.000],  loss: 0.292235, mae: 9.308490, mean_q: 10.295194
  8616/100000: episode: 62, duration: 2.348s, episode steps: 267, steps per second: 114, episode reward:  0.334, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.311 [0.000, 31.000],  loss: 0.324733, mae: 9.794245, mean_q: 10.786325
  8826/100000: episode: 63, duration: 1.996s, episode steps: 210, steps per second: 105, episode reward:  0.181, mean reward:  0.001 [-0.001,  0.012], mean action: 15.295 [0.000, 31.000],  loss: 0.293542, mae: 10.479104, mean_q: 11.478823
  8856/100000: episode: 64, duration: 0.279s, episode steps:  30, steps per second: 107, episode reward:  0.054, mean reward:  0.002 [-0.001,  0.007], mean action: 16.167 [2.000, 31.000],  loss: 0.702275, mae: 10.824111, mean_q: 11.941437
  9107/100000: episode: 65, duration: 2.290s, episode steps: 251, steps per second: 110, episode reward:  0.357, mean reward:  0.001 [-0.001,  0.013], mean action: 15.227 [0.000, 31.000],  loss: 0.522750, mae: 11.352702, mean_q: 12.551202
  9167/100000: episode: 66, duration: 0.572s, episode steps:  60, steps per second: 105, episode reward:  0.123, mean reward:  0.002 [-0.001,  0.013], mean action: 17.283 [0.000, 31.000],  loss: 0.453522, mae: 11.908433, mean_q: 13.190223
  9254/100000: episode: 67, duration: 0.758s, episode steps:  87, steps per second: 115, episode reward:  0.290, mean reward:  0.003 [-0.001,  0.012], mean action: 16.805 [0.000, 31.000],  loss: 0.434226, mae: 12.269526, mean_q: 13.592298
  9298/100000: episode: 68, duration: 0.396s, episode steps:  44, steps per second: 111, episode reward:  0.058, mean reward:  0.001 [-0.001,  0.008], mean action: 18.250 [0.000, 31.000],  loss: 0.559681, mae: 12.533433, mean_q: 13.896448
  9567/100000: episode: 69, duration: 2.352s, episode steps: 269, steps per second: 114, episode reward:  0.140, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.755 [0.000, 31.000],  loss: 0.594419, mae: 13.244384, mean_q: 14.598140
  9577/100000: episode: 70, duration: 0.097s, episode steps:  10, steps per second: 103, episode reward:  0.053, mean reward:  0.005 [-0.001,  0.012], mean action: 20.700 [10.000, 31.000],  loss: 0.656635, mae: 14.139033, mean_q: 15.489275
  9802/100000: episode: 71, duration: 1.988s, episode steps: 225, steps per second: 113, episode reward:  0.165, mean reward:  0.001 [-0.001,  0.011], mean action: 14.578 [0.000, 31.000],  loss: 0.826016, mae: 14.430800, mean_q: 15.878526
  9899/100000: episode: 72, duration: 0.888s, episode steps:  97, steps per second: 109, episode reward:  0.157, mean reward:  0.002 [-0.001,  0.010], mean action: 15.784 [1.000, 31.000],  loss: 0.741197, mae: 14.977050, mean_q: 16.459047
 10166/100000: episode: 73, duration: 2.337s, episode steps: 267, steps per second: 114, episode reward:  0.151, mean reward:  0.001 [ 0.000,  0.012], mean action: 17.034 [0.000, 31.000],  loss: 0.705826, mae: 15.740693, mean_q: 17.263292
 10389/100000: episode: 74, duration: 1.959s, episode steps: 223, steps per second: 114, episode reward:  0.165, mean reward:  0.001 [-0.001,  0.012], mean action: 14.507 [0.000, 31.000],  loss: 0.843556, mae: 16.805738, mean_q: 18.334854
 10592/100000: episode: 75, duration: 1.785s, episode steps: 203, steps per second: 114, episode reward:  0.336, mean reward:  0.002 [ 0.000,  0.016], mean action: 15.143 [0.000, 31.000],  loss: 0.756613, mae: 17.555389, mean_q: 19.147520
 10624/100000: episode: 76, duration: 0.281s, episode steps:  32, steps per second: 114, episode reward:  0.101, mean reward:  0.003 [-0.001,  0.012], mean action: 18.969 [2.000, 30.000],  loss: 1.408307, mae: 18.146809, mean_q: 19.809174
 10751/100000: episode: 77, duration: 1.142s, episode steps: 127, steps per second: 111, episode reward:  0.059, mean reward:  0.000 [-0.001,  0.008], mean action: 15.354 [0.000, 31.000],  loss: 0.948478, mae: 18.492146, mean_q: 20.112982
 11018/100000: episode: 78, duration: 2.346s, episode steps: 267, steps per second: 114, episode reward:  0.170, mean reward:  0.001 [ 0.000,  0.013], mean action: 16.506 [0.000, 31.000],  loss: 1.114464, mae: 19.216599, mean_q: 20.988163
 11208/100000: episode: 79, duration: 1.674s, episode steps: 190, steps per second: 114, episode reward:  0.338, mean reward:  0.002 [-0.001,  0.013], mean action: 16.353 [0.000, 31.000],  loss: 0.915418, mae: 20.138716, mean_q: 21.832695
 11273/100000: episode: 80, duration: 0.569s, episode steps:  65, steps per second: 114, episode reward:  0.056, mean reward:  0.001 [-0.001,  0.011], mean action: 14.415 [0.000, 31.000],  loss: 0.587323, mae: 20.746168, mean_q: 22.447306
 11540/100000: episode: 81, duration: 2.329s, episode steps: 267, steps per second: 115, episode reward:  0.283, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.940 [0.000, 31.000],  loss: 1.145473, mae: 21.218706, mean_q: 23.037384
 11775/100000: episode: 82, duration: 2.061s, episode steps: 235, steps per second: 114, episode reward:  0.114, mean reward:  0.000 [-0.001,  0.013], mean action: 15.289 [0.000, 31.000],  loss: 0.978436, mae: 22.140436, mean_q: 23.959234
 12042/100000: episode: 83, duration: 2.381s, episode steps: 267, steps per second: 112, episode reward:  0.334, mean reward:  0.001 [ 0.000,  0.014], mean action: 15.858 [0.000, 31.000],  loss: 1.062817, mae: 23.121391, mean_q: 25.029022
 12309/100000: episode: 84, duration: 2.341s, episode steps: 267, steps per second: 114, episode reward:  0.147, mean reward:  0.001 [ 0.000,  0.013], mean action: 15.659 [0.000, 31.000],  loss: 1.235451, mae: 24.118935, mean_q: 26.073235
 12576/100000: episode: 85, duration: 2.325s, episode steps: 267, steps per second: 115, episode reward:  0.139, mean reward:  0.001 [ 0.000,  0.008], mean action: 15.772 [0.000, 31.000],  loss: 1.808883, mae: 25.194921, mean_q: 27.320084
 12620/100000: episode: 86, duration: 0.431s, episode steps:  44, steps per second: 102, episode reward:  0.054, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.205 [0.000, 30.000],  loss: 1.359092, mae: 25.982939, mean_q: 28.204720
 12889/100000: episode: 87, duration: 2.360s, episode steps: 269, steps per second: 114, episode reward:  0.175, mean reward:  0.001 [ 0.000,  0.012], mean action: 14.625 [0.000, 31.000],  loss: 1.912000, mae: 26.699760, mean_q: 29.054880
 12941/100000: episode: 88, duration: 0.459s, episode steps:  52, steps per second: 113, episode reward:  0.108, mean reward:  0.002 [-0.001,  0.011], mean action: 16.731 [0.000, 31.000],  loss: 1.956672, mae: 27.872169, mean_q: 30.236105
 13120/100000: episode: 89, duration: 1.622s, episode steps: 179, steps per second: 110, episode reward:  0.159, mean reward:  0.001 [-0.001,  0.011], mean action: 14.665 [0.000, 31.000],  loss: 1.768522, mae: 28.071836, mean_q: 30.255379
 13380/100000: episode: 90, duration: 2.607s, episode steps: 260, steps per second: 100, episode reward:  0.182, mean reward:  0.001 [-0.001,  0.010], mean action: 16.327 [0.000, 31.000],  loss: 2.041453, mae: 28.862703, mean_q: 31.139996
 13647/100000: episode: 91, duration: 2.394s, episode steps: 267, steps per second: 112, episode reward:  0.329, mean reward:  0.001 [ 0.000,  0.012], mean action: 16.554 [0.000, 31.000],  loss: 2.031620, mae: 29.629410, mean_q: 31.937874
 13679/100000: episode: 92, duration: 0.300s, episode steps:  32, steps per second: 107, episode reward:  0.051, mean reward:  0.002 [-0.001,  0.010], mean action: 17.844 [1.000, 31.000],  loss: 2.131277, mae: 30.196468, mean_q: 32.563984
 13852/100000: episode: 93, duration: 1.598s, episode steps: 173, steps per second: 108, episode reward:  0.113, mean reward:  0.001 [-0.001,  0.009], mean action: 16.647 [0.000, 31.000],  loss: 1.755135, mae: 30.177458, mean_q: 32.485149
 13878/100000: episode: 94, duration: 0.236s, episode steps:  26, steps per second: 110, episode reward:  0.071, mean reward:  0.003 [-0.001,  0.012], mean action: 20.231 [5.000, 30.000],  loss: 1.360103, mae: 30.835571, mean_q: 33.114498
 14006/100000: episode: 95, duration: 1.186s, episode steps: 128, steps per second: 108, episode reward:  0.159, mean reward:  0.001 [ 0.000,  0.012], mean action: 16.234 [0.000, 31.000],  loss: 1.957559, mae: 30.629433, mean_q: 33.003452
 14273/100000: episode: 96, duration: 2.468s, episode steps: 267, steps per second: 108, episode reward:  0.329, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.483 [0.000, 31.000],  loss: 2.055490, mae: 31.161114, mean_q: 33.477940
 14540/100000: episode: 97, duration: 2.408s, episode steps: 267, steps per second: 111, episode reward:  0.330, mean reward:  0.001 [ 0.000,  0.012], mean action: 17.000 [0.000, 31.000],  loss: 2.274932, mae: 31.891932, mean_q: 34.338497
 14569/100000: episode: 98, duration: 0.259s, episode steps:  29, steps per second: 112, episode reward:  0.051, mean reward:  0.002 [-0.000,  0.007], mean action: 17.897 [0.000, 30.000],  loss: 2.889774, mae: 32.449165, mean_q: 34.887665
 14836/100000: episode: 99, duration: 2.479s, episode steps: 267, steps per second: 108, episode reward:  0.168, mean reward:  0.001 [ 0.000,  0.012], mean action: 14.884 [0.000, 31.000],  loss: 2.367585, mae: 32.852543, mean_q: 35.296444
 15103/100000: episode: 100, duration: 2.468s, episode steps: 267, steps per second: 108, episode reward:  0.185, mean reward:  0.001 [ 0.000,  0.011], mean action: 16.734 [0.000, 31.000],  loss: 2.283872, mae: 33.854458, mean_q: 36.396378
 15370/100000: episode: 101, duration: 2.363s, episode steps: 267, steps per second: 113, episode reward:  0.052, mean reward:  0.000 [ 0.000,  0.008], mean action: 13.974 [0.000, 31.000],  loss: 2.637659, mae: 34.556995, mean_q: 37.234909
 15385/100000: episode: 102, duration: 0.138s, episode steps:  15, steps per second: 108, episode reward:  0.049, mean reward:  0.003 [-0.001,  0.011], mean action: 15.067 [3.000, 30.000],  loss: 1.609103, mae: 35.202694, mean_q: 37.953873
 15546/100000: episode: 103, duration: 1.471s, episode steps: 161, steps per second: 109, episode reward:  0.339, mean reward:  0.002 [-0.001,  0.014], mean action: 17.112 [0.000, 31.000],  loss: 3.446636, mae: 35.311256, mean_q: 38.078415
 15813/100000: episode: 104, duration: 2.389s, episode steps: 267, steps per second: 112, episode reward:  0.160, mean reward:  0.001 [ 0.000,  0.015], mean action: 15.210 [0.000, 31.000],  loss: 3.243476, mae: 36.003433, mean_q: 38.895695
 16060/100000: episode: 105, duration: 2.239s, episode steps: 247, steps per second: 110, episode reward:  0.360, mean reward:  0.001 [-0.001,  0.011], mean action: 16.105 [0.000, 31.000],  loss: 2.856065, mae: 36.918724, mean_q: 39.739708
 16327/100000: episode: 106, duration: 2.444s, episode steps: 267, steps per second: 109, episode reward:  0.165, mean reward:  0.001 [ 0.000,  0.013], mean action: 13.509 [0.000, 31.000],  loss: 2.871690, mae: 37.503506, mean_q: 40.347588
 16594/100000: episode: 107, duration: 2.508s, episode steps: 267, steps per second: 106, episode reward:  0.160, mean reward:  0.001 [ 0.000,  0.009], mean action: 15.487 [0.000, 31.000],  loss: 3.490059, mae: 38.262337, mean_q: 41.190830
 16863/100000: episode: 108, duration: 2.476s, episode steps: 269, steps per second: 109, episode reward:  0.223, mean reward:  0.001 [ 0.000,  0.009], mean action: 16.197 [0.000, 31.000],  loss: 3.190394, mae: 38.843567, mean_q: 41.794479
 17132/100000: episode: 109, duration: 2.531s, episode steps: 269, steps per second: 106, episode reward:  0.143, mean reward:  0.001 [ 0.000,  0.009], mean action: 15.152 [0.000, 31.000],  loss: 3.425981, mae: 39.752296, mean_q: 42.721630
 17399/100000: episode: 110, duration: 2.426s, episode steps: 267, steps per second: 110, episode reward:  0.168, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.030 [0.000, 31.000],  loss: 3.835653, mae: 40.388306, mean_q: 43.444706
 17666/100000: episode: 111, duration: 2.504s, episode steps: 267, steps per second: 107, episode reward:  0.166, mean reward:  0.001 [ 0.000,  0.014], mean action: 14.603 [0.000, 31.000],  loss: 4.717858, mae: 41.380230, mean_q: 44.712097
 17842/100000: episode: 112, duration: 1.636s, episode steps: 176, steps per second: 108, episode reward:  0.152, mean reward:  0.001 [-0.001,  0.010], mean action: 15.909 [0.000, 31.000],  loss: 5.548845, mae: 42.189049, mean_q: 45.453499
 18061/100000: episode: 113, duration: 1.937s, episode steps: 219, steps per second: 113, episode reward:  0.155, mean reward:  0.001 [-0.001,  0.015], mean action: 13.548 [0.000, 31.000],  loss: 3.724617, mae: 43.005611, mean_q: 46.245892
 18328/100000: episode: 114, duration: 2.408s, episode steps: 267, steps per second: 111, episode reward:  0.075, mean reward:  0.000 [ 0.000,  0.008], mean action: 15.734 [0.000, 31.000],  loss: 4.168258, mae: 43.624260, mean_q: 46.934685
 18518/100000: episode: 115, duration: 1.691s, episode steps: 190, steps per second: 112, episode reward:  0.354, mean reward:  0.002 [ 0.000,  0.012], mean action: 14.263 [0.000, 31.000],  loss: 4.112288, mae: 44.342888, mean_q: 47.685383
 18785/100000: episode: 116, duration: 2.359s, episode steps: 267, steps per second: 113, episode reward:  0.172, mean reward:  0.001 [ 0.000,  0.009], mean action: 14.948 [0.000, 31.000],  loss: 3.844147, mae: 45.245960, mean_q: 48.630997
 18932/100000: episode: 117, duration: 1.320s, episode steps: 147, steps per second: 111, episode reward:  0.336, mean reward:  0.002 [ 0.000,  0.011], mean action: 16.878 [0.000, 31.000],  loss: 3.321144, mae: 45.921947, mean_q: 49.344387
