Training for 50000 steps ...
   196/50000: episode: 1, duration: 13.012s, episode steps: 196, steps per second:  15, episode reward: 32.340, mean reward:  0.165 [-0.005,  0.357], mean action: 15.974 [0.000, 31.000],  loss: --, mae: --, mean_q: --
  7843/50000: episode: 53, duration: 20.686s, episode steps: 267, steps per second:  13, episode reward: 99.411, mean reward:  0.372 [-0.005,  0.587], mean action: 14.288 [0.000, 31.000],  loss: 2.688781, mae: 42.360905, mean_q: 45.535717
  8110/50000: episode: 54, duration: 20.684s, episode steps: 267, steps per second:  13, episode reward: 146.180, mean reward:  0.547 [ 0.116,  0.654], mean action: 14.809 [0.000, 31.000],  loss: 3.110132, mae: 44.293190, mean_q: 47.650951
  8274/50000: episode: 55, duration: 12.744s, episode steps: 164, steps per second:  13, episode reward: 70.895, mean reward:  0.432 [ 0.137,  0.498], mean action: 15.476 [0.000, 31.000],  loss: 5.457067, mae: 45.404617, mean_q: 48.823257
  8431/50000: episode: 56, duration: 12.171s, episode steps: 157, steps per second:  13, episode reward: 35.848, mean reward:  0.228 [-0.005,  0.305], mean action: 12.541 [0.000, 31.000],  loss: 5.164999, mae: 46.215542, mean_q: 49.666832
  8698/50000: episode: 57, duration: 20.684s, episode steps: 267, steps per second:  13, episode reward: 62.022, mean reward:  0.232 [-0.005,  0.337], mean action: 16.772 [0.000, 31.000],  loss: 4.344747, mae: 47.370251, mean_q: 50.924305
  8877/50000: episode: 58, duration: 13.910s, episode steps: 179, steps per second:  13, episode reward: 54.422, mean reward:  0.304 [-0.005,  0.442], mean action: 15.642 [0.000, 31.000],  loss: 4.137285, mae: 48.821678, mean_q: 52.550911
  9144/50000: episode: 59, duration: 20.690s, episode steps: 267, steps per second:  13, episode reward: 106.054, mean reward:  0.397 [-0.005,  0.483], mean action: 14.052 [0.000, 31.000],  loss: 5.688893, mae: 50.248714, mean_q: 54.066463
  9255/50000: episode: 60, duration: 8.641s, episode steps: 111, steps per second:  13, episode reward: 35.118, mean reward:  0.316 [-0.005,  0.402], mean action: 15.315 [0.000, 31.000],  loss: 5.114491, mae: 51.933208, mean_q: 55.874626
  9525/50000: episode: 61, duration: 20.923s, episode steps: 270, steps per second:  13, episode reward: 100.321, mean reward:  0.372 [ 0.117,  0.433], mean action: 15.481 [0.000, 31.000],  loss: 4.894195, mae: 53.028217, mean_q: 57.061466
  9569/50000: episode: 62, duration: 3.481s, episode steps:  44, steps per second:  13, episode reward: 11.715, mean reward:  0.266 [ 0.116,  0.310], mean action: 15.750 [0.000, 31.000],  loss: 4.157764, mae: 54.466709, mean_q: 58.601322
  9836/50000: episode: 63, duration: 20.694s, episode steps: 267, steps per second:  13, episode reward: 106.840, mean reward:  0.400 [ 0.087,  0.477], mean action: 14.652 [0.000, 31.000],  loss: 6.188447, mae: 55.516869, mean_q: 59.625427
 10103/50000: episode: 64, duration: 20.647s, episode steps: 267, steps per second:  13, episode reward: 97.947, mean reward:  0.367 [ 0.130,  0.460], mean action: 16.060 [0.000, 31.000],  loss: 8.617576, mae: 57.300831, mean_q: 61.668095
 10138/50000: episode: 65, duration: 2.817s, episode steps:  35, steps per second:  12, episode reward:  9.117, mean reward:  0.260 [ 0.087,  0.319], mean action: 18.200 [1.000, 31.000],  loss: 7.948229, mae: 58.347824, mean_q: 62.740261
 10312/50000: episode: 66, duration: 13.467s, episode steps: 174, steps per second:  13, episode reward: 65.154, mean reward:  0.374 [-0.005,  0.484], mean action: 17.259 [0.000, 31.000],  loss: 8.610256, mae: 58.745388, mean_q: 63.228264
 10471/50000: episode: 67, duration: 12.298s, episode steps: 159, steps per second:  13, episode reward: 31.728, mean reward:  0.200 [-0.005,  0.421], mean action: 15.440 [0.000, 31.000],  loss: 7.093239, mae: 59.725193, mean_q: 64.213768
 10528/50000: episode: 68, duration: 4.459s, episode steps:  57, steps per second:  13, episode reward: 18.336, mean reward:  0.322 [ 0.087,  0.397], mean action: 15.807 [1.000, 31.000],  loss: 7.029675, mae: 61.087780, mean_q: 65.688034
 10699/50000: episode: 69, duration: 13.201s, episode steps: 171, steps per second:  13, episode reward: 33.316, mean reward:  0.195 [-0.005,  0.315], mean action: 15.871 [0.000, 31.000],  loss: 7.589956, mae: 61.609146, mean_q: 66.123207
 10723/50000: episode: 70, duration: 1.929s, episode steps:  24, steps per second:  12, episode reward:  6.734, mean reward:  0.281 [ 0.137,  0.337], mean action: 13.250 [0.000, 29.000],  loss: 5.890197, mae: 61.845993, mean_q: 66.533020
 10798/50000: episode: 71, duration: 5.847s, episode steps:  75, steps per second:  13, episode reward: 19.023, mean reward:  0.254 [ 0.137,  0.308], mean action: 16.000 [0.000, 30.000],  loss: 7.754776, mae: 62.361965, mean_q: 67.169281
 11031/50000: episode: 72, duration: 18.007s, episode steps: 233, steps per second:  13, episode reward: 111.253, mean reward:  0.477 [ 0.013,  0.641], mean action: 15.747 [0.000, 31.000],  loss: 7.425207, mae: 63.530830, mean_q: 68.133064
 11249/50000: episode: 73, duration: 16.882s, episode steps: 218, steps per second:  13, episode reward: 87.212, mean reward:  0.400 [ 0.017,  0.495], mean action: 16.073 [0.000, 31.000],  loss: 9.571527, mae: 64.621880, mean_q: 69.491058
 11516/50000: episode: 74, duration: 20.669s, episode steps: 267, steps per second:  13, episode reward: 113.540, mean reward:  0.425 [-0.005,  0.481], mean action: 13.629 [0.000, 31.000],  loss: 8.762452, mae: 65.941376, mean_q: 70.831230
 11569/50000: episode: 75, duration: 4.150s, episode steps:  53, steps per second:  13, episode reward:  9.421, mean reward:  0.178 [-0.005,  0.306], mean action: 16.698 [0.000, 30.000],  loss: 12.228899, mae: 66.965874, mean_q: 71.731796
 11836/50000: episode: 76, duration: 20.671s, episode steps: 267, steps per second:  13, episode reward: 122.572, mean reward:  0.459 [-0.005,  0.569], mean action: 15.730 [0.000, 31.000],  loss: 8.910946, mae: 68.023041, mean_q: 73.094131
 12103/50000: episode: 77, duration: 20.635s, episode steps: 267, steps per second:  13, episode reward: 84.363, mean reward:  0.316 [-0.005,  0.497], mean action: 15.375 [0.000, 31.000],  loss: 10.381248, mae: 69.869247, mean_q: 74.958008
 12370/50000: episode: 78, duration: 20.648s, episode steps: 267, steps per second:  13, episode reward: 81.052, mean reward:  0.304 [-0.005,  0.463], mean action: 13.607 [0.000, 31.000],  loss: 11.597405, mae: 71.455063, mean_q: 76.800316
 12424/50000: episode: 79, duration: 4.232s, episode steps:  54, steps per second:  13, episode reward: 11.653, mean reward:  0.216 [-0.005,  0.378], mean action: 14.037 [0.000, 31.000],  loss: 11.079123, mae: 72.756645, mean_q: 78.228767
 12691/50000: episode: 80, duration: 20.655s, episode steps: 267, steps per second:  13, episode reward: 60.793, mean reward:  0.228 [-0.005,  0.303], mean action: 14.614 [0.000, 31.000],  loss: 13.178446, mae: 73.459465, mean_q: 78.932945
 12702/50000: episode: 81, duration: 0.918s, episode steps:  11, steps per second:  12, episode reward:  2.271, mean reward:  0.206 [ 0.087,  0.303], mean action: 20.091 [6.000, 31.000],  loss: 3.399135, mae: 74.635651, mean_q: 80.226471
 12969/50000: episode: 82, duration: 20.696s, episode steps: 267, steps per second:  13, episode reward: 67.472, mean reward:  0.253 [ 0.060,  0.308], mean action: 15.427 [0.000, 31.000],  loss: 11.319180, mae: 75.551353, mean_q: 81.113617
 13236/50000: episode: 83, duration: 20.652s, episode steps: 267, steps per second:  13, episode reward: 94.226, mean reward:  0.353 [-0.005,  0.438], mean action: 15.397 [0.000, 31.000],  loss: 10.280667, mae: 77.563980, mean_q: 83.167107
 13355/50000: episode: 84, duration: 9.229s, episode steps: 119, steps per second:  13, episode reward: 51.293, mean reward:  0.431 [ 0.116,  0.641], mean action: 13.227 [0.000, 31.000],  loss: 10.615737, mae: 78.614067, mean_q: 84.380623
 13622/50000: episode: 85, duration: 20.615s, episode steps: 267, steps per second:  13, episode reward: 133.921, mean reward:  0.502 [ 0.087,  0.646], mean action: 15.079 [0.000, 31.000],  loss: 15.291735, mae: 79.414589, mean_q: 85.260468
 13889/50000: episode: 86, duration: 20.651s, episode steps: 267, steps per second:  13, episode reward: 108.255, mean reward:  0.405 [ 0.087,  0.475], mean action: 15.783 [0.000, 31.000],  loss: 12.659058, mae: 81.035538, mean_q: 86.909576
 14048/50000: episode: 87, duration: 12.323s, episode steps: 159, steps per second:  13, episode reward: 59.865, mean reward:  0.377 [-0.005,  0.473], mean action: 14.692 [0.000, 31.000],  loss: 15.684903, mae: 82.129913, mean_q: 88.071411
 14126/50000: episode: 88, duration: 6.089s, episode steps:  78, steps per second:  13, episode reward: 15.028, mean reward:  0.193 [-0.005,  0.305], mean action: 12.872 [0.000, 31.000],  loss: 13.405322, mae: 83.120468, mean_q: 89.335594
 14393/50000: episode: 89, duration: 20.660s, episode steps: 267, steps per second:  13, episode reward: 138.157, mean reward:  0.517 [ 0.087,  0.648], mean action: 15.082 [0.000, 31.000],  loss: 13.260818, mae: 84.309013, mean_q: 90.293938
 14660/50000: episode: 90, duration: 20.676s, episode steps: 267, steps per second:  13, episode reward: 145.290, mean reward:  0.544 [-0.005,  0.646], mean action: 14.592 [0.000, 31.000],  loss: 16.364697, mae: 85.375145, mean_q: 91.608086
 14697/50000: episode: 91, duration: 2.910s, episode steps:  37, steps per second:  13, episode reward:  5.252, mean reward:  0.142 [-0.005,  0.304], mean action: 15.784 [0.000, 31.000],  loss: 8.358956, mae: 86.312759, mean_q: 92.292824
 14964/50000: episode: 92, duration: 20.662s, episode steps: 267, steps per second:  13, episode reward: 100.334, mean reward:  0.376 [-0.005,  0.469], mean action: 16.161 [0.000, 31.000],  loss: 14.224679, mae: 87.323372, mean_q: 93.595085
 15231/50000: episode: 93, duration: 20.659s, episode steps: 267, steps per second:  13, episode reward: 138.865, mean reward:  0.520 [ 0.087,  0.650], mean action: 14.685 [0.000, 31.000],  loss: 15.238704, mae: 89.060234, mean_q: 95.430809
 15498/50000: episode: 94, duration: 20.705s, episode steps: 267, steps per second:  13, episode reward: 107.798, mean reward:  0.404 [-0.005,  0.466], mean action: 14.543 [0.000, 31.000],  loss: 14.725344, mae: 90.653717, mean_q: 96.930504
 15627/50000: episode: 95, duration: 10.020s, episode steps: 129, steps per second:  13, episode reward: 46.359, mean reward:  0.359 [-0.005,  0.470], mean action: 15.318 [0.000, 31.000],  loss: 22.167284, mae: 91.635643, mean_q: 98.183289
 15835/50000: episode: 96, duration: 16.107s, episode steps: 208, steps per second:  13, episode reward: 47.175, mean reward:  0.227 [-0.005,  0.305], mean action: 15.163 [0.000, 31.000],  loss: 20.638344, mae: 92.409050, mean_q: 99.016068
 16102/50000: episode: 97, duration: 20.696s, episode steps: 267, steps per second:  13, episode reward: 104.488, mean reward:  0.391 [ 0.017,  0.439], mean action: 15.865 [0.000, 31.000],  loss: 16.582802, mae: 93.917336, mean_q: 100.466263
 16369/50000: episode: 98, duration: 20.743s, episode steps: 267, steps per second:  13, episode reward: 63.226, mean reward:  0.237 [-0.005,  0.456], mean action: 15.539 [0.000, 31.000],  loss: 15.981003, mae: 95.451927, mean_q: 102.009796
 16636/50000: episode: 99, duration: 20.740s, episode steps: 267, steps per second:  13, episode reward: 65.113, mean reward:  0.244 [-0.005,  0.453], mean action: 13.966 [0.000, 31.000],  loss: 21.639915, mae: 96.374535, mean_q: 103.088348
 16903/50000: episode: 100, duration: 20.734s, episode steps: 267, steps per second:  13, episode reward: 106.050, mean reward:  0.397 [ 0.087,  0.464], mean action: 16.139 [0.000, 31.000],  loss: 18.033358, mae: 97.862946, mean_q: 104.703972
 17170/50000: episode: 101, duration: 20.715s, episode steps: 267, steps per second:  13, episode reward: 107.754, mean reward:  0.404 [ 0.087,  0.470], mean action: 17.539 [0.000, 31.000],  loss: 18.647339, mae: 99.548248, mean_q: 106.490913
 17437/50000: episode: 102, duration: 20.731s, episode steps: 267, steps per second:  13, episode reward: 137.245, mean reward:  0.514 [ 0.137,  0.643], mean action: 15.375 [0.000, 31.000],  loss: 20.296125, mae: 101.012657, mean_q: 107.986786
 17704/50000: episode: 103, duration: 20.738s, episode steps: 267, steps per second:  13, episode reward: 93.130, mean reward:  0.349 [ 0.126,  0.475], mean action: 16.674 [0.000, 31.000],  loss: 20.579382, mae: 102.278198, mean_q: 109.247940
 17971/50000: episode: 104, duration: 20.713s, episode steps: 267, steps per second:  13, episode reward: 151.083, mean reward:  0.566 [-0.005,  0.649], mean action: 14.135 [0.000, 31.000],  loss: 16.370447, mae: 103.425873, mean_q: 110.410187
 18238/50000: episode: 105, duration: 20.713s, episode steps: 267, steps per second:  13, episode reward: 83.709, mean reward:  0.314 [ 0.116,  0.475], mean action: 15.648 [0.000, 31.000],  loss: 26.353849, mae: 104.484772, mean_q: 111.724075
 18348/50000: episode: 106, duration: 8.589s, episode steps: 110, steps per second:  13, episode reward: 43.905, mean reward:  0.399 [ 0.087,  0.476], mean action: 17.100 [0.000, 31.000],  loss: 26.966646, mae: 105.239410, mean_q: 112.611671
 18509/50000: episode: 107, duration: 12.536s, episode steps: 161, steps per second:  13, episode reward: 82.816, mean reward:  0.514 [ 0.017,  0.642], mean action: 15.373 [0.000, 31.000],  loss: 23.336733, mae: 105.719719, mean_q: 113.064613
 18662/50000: episode: 108, duration: 11.908s, episode steps: 153, steps per second:  13, episode reward: 70.575, mean reward:  0.461 [-0.005,  0.665], mean action: 15.405 [0.000, 31.000],  loss: 20.032602, mae: 106.215889, mean_q: 113.509026
 18929/50000: episode: 109, duration: 20.724s, episode steps: 267, steps per second:  13, episode reward: 97.875, mean reward:  0.367 [-0.005,  0.458], mean action: 15.689 [0.000, 31.000],  loss: 25.241142, mae: 107.398262, mean_q: 114.650139
 19196/50000: episode: 110, duration: 20.722s, episode steps: 267, steps per second:  13, episode reward: 101.859, mean reward:  0.381 [-0.005,  0.466], mean action: 16.689 [0.000, 31.000],  loss: 23.698402, mae: 108.366165, mean_q: 115.819160
 19451/50000: episode: 111, duration: 19.771s, episode steps: 255, steps per second:  13, episode reward: 98.532, mean reward:  0.386 [-0.005,  0.478], mean action: 14.820 [0.000, 31.000],  loss: 22.416704, mae: 109.566376, mean_q: 117.049850
 19721/50000: episode: 112, duration: 20.900s, episode steps: 270, steps per second:  13, episode reward: 95.971, mean reward:  0.355 [-0.005,  0.481], mean action: 15.519 [0.000, 31.000],  loss: 25.049021, mae: 110.602707, mean_q: 118.186920
 19988/50000: episode: 113, duration: 20.694s, episode steps: 267, steps per second:  13, episode reward: 79.769, mean reward:  0.299 [-0.005,  0.454], mean action: 15.764 [0.000, 31.000],  loss: 22.500423, mae: 111.635490, mean_q: 119.187317
 20203/50000: episode: 114, duration: 16.682s, episode steps: 215, steps per second:  13, episode reward: 101.338, mean reward:  0.471 [ 0.116,  0.641], mean action: 14.828 [0.000, 31.000],  loss: 26.394463, mae: 112.496559, mean_q: 120.201271
 20470/50000: episode: 115, duration: 20.680s, episode steps: 267, steps per second:  13, episode reward: 153.702, mean reward:  0.576 [ 0.137,  0.650], mean action: 15.210 [0.000, 31.000],  loss: 23.877907, mae: 113.930702, mean_q: 121.747978
 20737/50000: episode: 116, duration: 20.729s, episode steps: 267, steps per second:  13, episode reward: 81.855, mean reward:  0.307 [-0.005,  0.613], mean action: 16.094 [0.000, 31.000],  loss: 27.813812, mae: 114.739960, mean_q: 122.655899
 20760/50000: episode: 117, duration: 1.847s, episode steps:  23, steps per second:  12, episode reward:  4.851, mean reward:  0.211 [ 0.087,  0.314], mean action: 16.087 [0.000, 30.000],  loss: 20.995913, mae: 115.418953, mean_q: 123.044464
