Training for 378151 steps ...
    267/378151: episode: 1, duration: 0.790s, episode steps: 267, steps per second: 338, episode reward: 41.651, mean reward:  0.156 [-0.005,  0.310], mean action: 14.315 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   3192/378151: episode: 15, duration: 2.988s, episode steps: 267, steps per second:  89, episode reward: 108.125, mean reward:  0.405 [-0.005,  0.609], mean action: 16.386 [0.000, 31.000],  loss: 0.176955, mae: 9.052171, mean_q: 9.891630
   3276/378151: episode: 16, duration: 0.889s, episode steps:  84, steps per second:  94, episode reward: 31.254, mean reward:  0.372 [ 0.086,  0.475], mean action: 15.690 [0.000, 31.000],  loss: 0.271696, mae: 9.795690, mean_q: 10.715230
   3495/378151: episode: 17, duration: 2.420s, episode steps: 219, steps per second:  90, episode reward: 58.805, mean reward:  0.269 [-0.005,  0.436], mean action: 17.068 [0.000, 31.000],  loss: 0.234240, mae: 10.467187, mean_q: 11.460876
   3741/378151: episode: 18, duration: 2.717s, episode steps: 246, steps per second:  91, episode reward: 97.433, mean reward:  0.396 [ 0.086,  0.551], mean action: 14.854 [0.000, 31.000],  loss: 0.266573, mae: 11.680367, mean_q: 12.786395
   3842/378151: episode: 19, duration: 1.148s, episode steps: 101, steps per second:  88, episode reward: 29.479, mean reward:  0.292 [ 0.086,  0.384], mean action: 15.277 [0.000, 31.000],  loss: 0.375199, mae: 12.508574, mean_q: 13.642415
   4109/378151: episode: 20, duration: 3.004s, episode steps: 267, steps per second:  89, episode reward: 86.096, mean reward:  0.322 [-0.005,  0.468], mean action: 15.217 [0.000, 31.000],  loss: 0.414033, mae: 13.549304, mean_q: 14.814466
   4274/378151: episode: 21, duration: 1.802s, episode steps: 165, steps per second:  92, episode reward: 41.625, mean reward:  0.252 [-0.005,  0.401], mean action: 15.842 [0.000, 31.000],  loss: 0.496943, mae: 14.714699, mean_q: 16.102604
   4396/378151: episode: 22, duration: 1.406s, episode steps: 122, steps per second:  87, episode reward: 35.394, mean reward:  0.290 [-0.005,  0.457], mean action: 13.508 [0.000, 31.000],  loss: 0.611752, mae: 15.508533, mean_q: 16.958618
   4614/378151: episode: 23, duration: 2.442s, episode steps: 218, steps per second:  89, episode reward: 82.787, mean reward:  0.380 [-0.005,  0.559], mean action: 15.963 [0.000, 31.000],  loss: 0.619818, mae: 16.472052, mean_q: 17.984800
   4883/378151: episode: 24, duration: 2.930s, episode steps: 269, steps per second:  92, episode reward: 88.033, mean reward:  0.327 [-0.005,  0.513], mean action: 16.145 [0.000, 31.000],  loss: 0.632234, mae: 17.931383, mean_q: 19.535852
   5150/378151: episode: 25, duration: 2.920s, episode steps: 267, steps per second:  91, episode reward: 86.841, mean reward:  0.325 [-0.005,  0.443], mean action: 15.236 [0.000, 31.000],  loss: 0.796683, mae: 19.564461, mean_q: 21.308558
   5419/378151: episode: 26, duration: 3.008s, episode steps: 269, steps per second:  89, episode reward: 112.250, mean reward:  0.417 [ 0.086,  0.583], mean action: 15.167 [0.000, 31.000],  loss: 1.122169, mae: 21.281504, mean_q: 23.195107
   5619/378151: episode: 27, duration: 2.237s, episode steps: 200, steps per second:  89, episode reward: 86.416, mean reward:  0.432 [-0.005,  0.627], mean action: 16.705 [0.000, 31.000],  loss: 0.950266, mae: 22.966333, mean_q: 24.940746
   5767/378151: episode: 28, duration: 1.602s, episode steps: 148, steps per second:  92, episode reward: 67.897, mean reward:  0.459 [-0.005,  0.589], mean action: 14.493 [0.000, 31.000],  loss: 1.080192, mae: 24.202812, mean_q: 26.262197
   5933/378151: episode: 29, duration: 1.906s, episode steps: 166, steps per second:  87, episode reward: 52.056, mean reward:  0.314 [-0.005,  0.460], mean action: 15.072 [0.000, 31.000],  loss: 1.085195, mae: 25.214045, mean_q: 27.420439
   6121/378151: episode: 30, duration: 2.013s, episode steps: 188, steps per second:  93, episode reward: 67.286, mean reward:  0.358 [-0.005,  0.492], mean action: 14.447 [0.000, 31.000],  loss: 1.765314, mae: 26.372507, mean_q: 28.574831
   6297/378151: episode: 31, duration: 1.963s, episode steps: 176, steps per second:  90, episode reward: 68.640, mean reward:  0.390 [-0.005,  0.550], mean action: 15.295 [0.000, 31.000],  loss: 1.490042, mae: 27.500837, mean_q: 29.791265
   6439/378151: episode: 32, duration: 1.540s, episode steps: 142, steps per second:  92, episode reward: 56.470, mean reward:  0.398 [ 0.086,  0.508], mean action: 15.472 [0.000, 31.000],  loss: 1.499407, mae: 28.608503, mean_q: 30.963440
   6516/378151: episode: 33, duration: 0.893s, episode steps:  77, steps per second:  86, episode reward: 28.732, mean reward:  0.373 [ 0.086,  0.523], mean action: 14.662 [0.000, 31.000],  loss: 1.525920, mae: 29.342056, mean_q: 31.818714
   6697/378151: episode: 34, duration: 2.039s, episode steps: 181, steps per second:  89, episode reward: 55.063, mean reward:  0.304 [-0.005,  0.539], mean action: 16.105 [0.000, 31.000],  loss: 2.222342, mae: 30.105705, mean_q: 32.647381
   6821/378151: episode: 35, duration: 1.351s, episode steps: 124, steps per second:  92, episode reward: 43.616, mean reward:  0.352 [-0.005,  0.462], mean action: 14.355 [0.000, 31.000],  loss: 1.574712, mae: 31.294691, mean_q: 33.943050
   6940/378151: episode: 36, duration: 1.330s, episode steps: 119, steps per second:  89, episode reward: 48.371, mean reward:  0.406 [ 0.136,  0.561], mean action: 14.160 [0.000, 31.000],  loss: 2.719946, mae: 31.999380, mean_q: 34.682343
   7207/378151: episode: 37, duration: 2.927s, episode steps: 267, steps per second:  91, episode reward: 120.187, mean reward:  0.450 [ 0.086,  0.682], mean action: 14.345 [0.000, 31.000],  loss: 2.309416, mae: 33.626312, mean_q: 36.457031
   7474/378151: episode: 38, duration: 3.027s, episode steps: 267, steps per second:  88, episode reward: 85.035, mean reward:  0.318 [-0.005,  0.358], mean action: 15.326 [0.000, 31.000],  loss: 2.762572, mae: 35.686001, mean_q: 38.723522
   7616/378151: episode: 39, duration: 1.552s, episode steps: 142, steps per second:  91, episode reward: 54.338, mean reward:  0.383 [ 0.086,  0.563], mean action: 14.606 [0.000, 31.000],  loss: 2.622492, mae: 37.097992, mean_q: 40.291531
   7733/378151: episode: 40, duration: 1.285s, episode steps: 117, steps per second:  91, episode reward: 38.382, mean reward:  0.328 [-0.005,  0.524], mean action: 15.940 [0.000, 31.000],  loss: 2.455966, mae: 38.257641, mean_q: 41.458035
   8000/378151: episode: 41, duration: 3.022s, episode steps: 267, steps per second:  88, episode reward: 104.006, mean reward:  0.390 [ 0.086,  0.422], mean action: 15.397 [0.000, 31.000],  loss: 4.334824, mae: 39.519146, mean_q: 43.048588
   8098/378151: episode: 42, duration: 1.007s, episode steps:  98, steps per second:  97, episode reward: 22.788, mean reward:  0.233 [-0.005,  0.420], mean action: 14.745 [0.000, 31.000],  loss: 3.868872, mae: 40.949219, mean_q: 44.582066
   8256/378151: episode: 43, duration: 1.805s, episode steps: 158, steps per second:  88, episode reward: 40.340, mean reward:  0.255 [-0.005,  0.399], mean action: 15.753 [0.000, 31.000],  loss: 4.690367, mae: 41.921635, mean_q: 45.564724
   8399/378151: episode: 44, duration: 1.589s, episode steps: 143, steps per second:  90, episode reward: 49.183, mean reward:  0.344 [-0.005,  0.552], mean action: 14.657 [0.000, 31.000],  loss: 4.048539, mae: 42.986294, mean_q: 46.649292
   8668/378151: episode: 45, duration: 3.028s, episode steps: 269, steps per second:  89, episode reward: 88.426, mean reward:  0.329 [-0.005,  0.511], mean action: 15.751 [0.000, 31.000],  loss: 3.849055, mae: 44.585407, mean_q: 48.311527
   8774/378151: episode: 46, duration: 1.185s, episode steps: 106, steps per second:  89, episode reward: 34.686, mean reward:  0.327 [-0.005,  0.415], mean action: 14.019 [0.000, 31.000],  loss: 4.674143, mae: 45.996109, mean_q: 49.766720
   8852/378151: episode: 47, duration: 0.829s, episode steps:  78, steps per second:  94, episode reward: 25.020, mean reward:  0.321 [-0.005,  0.455], mean action: 14.821 [0.000, 31.000],  loss: 4.767808, mae: 46.719883, mean_q: 50.584995
   8969/378151: episode: 48, duration: 1.285s, episode steps: 117, steps per second:  91, episode reward: 35.478, mean reward:  0.303 [-0.005,  0.449], mean action: 14.530 [0.000, 31.000],  loss: 3.674802, mae: 47.485840, mean_q: 51.397343
   9238/378151: episode: 49, duration: 3.062s, episode steps: 269, steps per second:  88, episode reward: 132.217, mean reward:  0.492 [ 0.078,  0.641], mean action: 15.706 [0.000, 31.000],  loss: 5.665698, mae: 48.793259, mean_q: 52.739006
   9445/378151: episode: 50, duration: 2.291s, episode steps: 207, steps per second:  90, episode reward: 85.628, mean reward:  0.414 [-0.005,  0.582], mean action: 15.246 [0.000, 31.000],  loss: 7.203681, mae: 50.248848, mean_q: 54.490528
   9567/378151: episode: 51, duration: 1.365s, episode steps: 122, steps per second:  89, episode reward: 42.609, mean reward:  0.349 [ 0.115,  0.507], mean action: 12.541 [0.000, 31.000],  loss: 4.396167, mae: 51.605133, mean_q: 55.960667
   9699/378151: episode: 52, duration: 1.469s, episode steps: 132, steps per second:  90, episode reward: 56.249, mean reward:  0.426 [-0.005,  0.637], mean action: 15.879 [0.000, 31.000],  loss: 3.769699, mae: 52.784458, mean_q: 56.949707
   9842/378151: episode: 53, duration: 1.553s, episode steps: 143, steps per second:  92, episode reward: 39.854, mean reward:  0.279 [-0.005,  0.355], mean action: 13.692 [0.000, 31.000],  loss: 6.106158, mae: 53.720367, mean_q: 58.057072
  10039/378151: episode: 54, duration: 2.257s, episode steps: 197, steps per second:  87, episode reward: 77.859, mean reward:  0.395 [ 0.016,  0.595], mean action: 15.772 [0.000, 31.000],  loss: 6.146762, mae: 54.913025, mean_q: 59.240299
  10306/378151: episode: 55, duration: 3.006s, episode steps: 267, steps per second:  89, episode reward: 97.974, mean reward:  0.367 [-0.005,  0.470], mean action: 13.161 [0.000, 31.000],  loss: 5.461002, mae: 56.582691, mean_q: 61.014858
  10573/378151: episode: 56, duration: 2.959s, episode steps: 267, steps per second:  90, episode reward: 101.316, mean reward:  0.379 [-0.005,  0.407], mean action: 13.109 [0.000, 30.000],  loss: 7.174411, mae: 58.321171, mean_q: 62.945488
  10840/378151: episode: 57, duration: 2.919s, episode steps: 267, steps per second:  91, episode reward: 116.190, mean reward:  0.435 [-0.005,  0.601], mean action: 14.734 [0.000, 31.000],  loss: 7.166298, mae: 60.239635, mean_q: 65.068222
  11110/378151: episode: 58, duration: 3.063s, episode steps: 270, steps per second:  88, episode reward: 79.233, mean reward:  0.293 [-0.005,  0.439], mean action: 14.967 [0.000, 31.000],  loss: 6.886342, mae: 62.063202, mean_q: 66.970589
  11377/378151: episode: 59, duration: 2.923s, episode steps: 267, steps per second:  91, episode reward: 100.870, mean reward:  0.378 [ 0.086,  0.479], mean action: 15.146 [0.000, 31.000],  loss: 8.731079, mae: 63.351299, mean_q: 68.462479
  11604/378151: episode: 60, duration: 2.513s, episode steps: 227, steps per second:  90, episode reward: 48.610, mean reward:  0.214 [-0.005,  0.435], mean action: 15.595 [0.000, 31.000],  loss: 7.764264, mae: 64.969872, mean_q: 70.057663
  11632/378151: episode: 61, duration: 0.381s, episode steps:  28, steps per second:  73, episode reward:  5.637, mean reward:  0.201 [ 0.033,  0.283], mean action: 14.214 [0.000, 31.000],  loss: 5.554321, mae: 66.063950, mean_q: 71.285301
  11899/378151: episode: 62, duration: 2.935s, episode steps: 267, steps per second:  91, episode reward: 110.085, mean reward:  0.412 [-0.005,  0.541], mean action: 14.562 [0.000, 31.000],  loss: 7.070761, mae: 66.997627, mean_q: 72.260254
  12168/378151: episode: 63, duration: 3.033s, episode steps: 269, steps per second:  89, episode reward: 102.145, mean reward:  0.380 [-0.005,  0.535], mean action: 14.584 [0.000, 31.000],  loss: 11.975501, mae: 68.259712, mean_q: 73.750900
  12435/378151: episode: 64, duration: 2.966s, episode steps: 267, steps per second:  90, episode reward: 114.219, mean reward:  0.428 [-0.005,  0.475], mean action: 11.386 [0.000, 31.000],  loss: 11.610164, mae: 69.806999, mean_q: 75.519806
  12702/378151: episode: 65, duration: 2.924s, episode steps: 267, steps per second:  91, episode reward: 58.585, mean reward:  0.219 [-0.005,  0.354], mean action: 14.547 [0.000, 31.000],  loss: 11.094846, mae: 71.939102, mean_q: 77.706940
  12828/378151: episode: 66, duration: 1.504s, episode steps: 126, steps per second:  84, episode reward: 26.653, mean reward:  0.212 [-0.005,  0.382], mean action: 15.508 [0.000, 31.000],  loss: 10.883364, mae: 73.314621, mean_q: 79.122581
  13097/378151: episode: 67, duration: 2.965s, episode steps: 269, steps per second:  91, episode reward: 128.835, mean reward:  0.479 [-0.005,  0.587], mean action: 13.465 [0.000, 31.000],  loss: 12.266419, mae: 74.486084, mean_q: 80.491531
  13215/378151: episode: 68, duration: 1.325s, episode steps: 118, steps per second:  89, episode reward: 34.656, mean reward:  0.294 [-0.005,  0.475], mean action: 15.627 [0.000, 31.000],  loss: 12.525853, mae: 75.733215, mean_q: 81.691147
  13300/378151: episode: 69, duration: 0.992s, episode steps:  85, steps per second:  86, episode reward: 25.906, mean reward:  0.305 [-0.005,  0.467], mean action: 14.706 [0.000, 31.000],  loss: 12.756634, mae: 76.441093, mean_q: 82.554207
  13390/378151: episode: 70, duration: 1.016s, episode steps:  90, steps per second:  89, episode reward: 21.069, mean reward:  0.234 [-0.005,  0.414], mean action: 15.978 [0.000, 31.000],  loss: 13.870025, mae: 76.911972, mean_q: 82.868027
  13626/378151: episode: 71, duration: 2.639s, episode steps: 236, steps per second:  89, episode reward: 116.769, mean reward:  0.495 [ 0.086,  0.575], mean action: 15.983 [0.000, 31.000],  loss: 13.188408, mae: 77.902374, mean_q: 84.041481
  13893/378151: episode: 72, duration: 2.917s, episode steps: 267, steps per second:  92, episode reward: 54.097, mean reward:  0.203 [-0.005,  0.317], mean action: 13.382 [0.000, 31.000],  loss: 10.876206, mae: 79.759933, mean_q: 86.030823
  14137/378151: episode: 73, duration: 2.795s, episode steps: 244, steps per second:  87, episode reward: 83.145, mean reward:  0.341 [-0.005,  0.480], mean action: 15.127 [0.000, 31.000],  loss: 9.035812, mae: 81.587265, mean_q: 87.935608
  14404/378151: episode: 74, duration: 2.932s, episode steps: 267, steps per second:  91, episode reward: 47.149, mean reward:  0.177 [-0.005,  0.388], mean action: 15.727 [0.000, 31.000],  loss: 11.988632, mae: 83.195473, mean_q: 89.731308
  14615/378151: episode: 75, duration: 2.366s, episode steps: 211, steps per second:  89, episode reward: 63.098, mean reward:  0.299 [-0.005,  0.408], mean action: 14.185 [0.000, 31.000],  loss: 10.187816, mae: 84.909554, mean_q: 91.452751
  14780/378151: episode: 76, duration: 1.882s, episode steps: 165, steps per second:  88, episode reward: 69.781, mean reward:  0.423 [ 0.115,  0.564], mean action: 15.321 [0.000, 31.000],  loss: 11.587882, mae: 86.153786, mean_q: 92.895470
  15045/378151: episode: 77, duration: 2.944s, episode steps: 265, steps per second:  90, episode reward: 106.291, mean reward:  0.401 [-0.005,  0.579], mean action: 14.925 [0.000, 31.000],  loss: 12.670012, mae: 87.464088, mean_q: 94.246330
  15102/378151: episode: 78, duration: 0.695s, episode steps:  57, steps per second:  82, episode reward: 18.965, mean reward:  0.333 [-0.005,  0.435], mean action: 17.474 [1.000, 31.000],  loss: 18.016346, mae: 88.482094, mean_q: 95.411217
  15202/378151: episode: 79, duration: 1.037s, episode steps: 100, steps per second:  96, episode reward: 34.558, mean reward:  0.346 [ 0.086,  0.489], mean action: 13.400 [0.000, 27.000],  loss: 17.961700, mae: 89.152489, mean_q: 96.348412
  15356/378151: episode: 80, duration: 1.796s, episode steps: 154, steps per second:  86, episode reward: 59.579, mean reward:  0.387 [-0.005,  0.480], mean action: 14.519 [0.000, 31.000],  loss: 15.392047, mae: 89.820679, mean_q: 96.757584
  15484/378151: episode: 81, duration: 1.422s, episode steps: 128, steps per second:  90, episode reward: 46.420, mean reward:  0.363 [-0.005,  0.507], mean action: 14.695 [0.000, 31.000],  loss: 17.435650, mae: 90.499733, mean_q: 97.490860
  15556/378151: episode: 82, duration: 0.854s, episode steps:  72, steps per second:  84, episode reward: 13.357, mean reward:  0.186 [-0.005,  0.317], mean action: 16.861 [0.000, 30.000],  loss: 12.704038, mae: 90.957748, mean_q: 97.961761
  15666/378151: episode: 83, duration: 1.230s, episode steps: 110, steps per second:  89, episode reward: 37.726, mean reward:  0.343 [ 0.059,  0.433], mean action: 13.118 [0.000, 31.000],  loss: 22.103945, mae: 91.325867, mean_q: 98.462929
  15933/378151: episode: 84, duration: 2.963s, episode steps: 267, steps per second:  90, episode reward: 93.959, mean reward:  0.352 [ 0.132,  0.416], mean action: 16.390 [0.000, 31.000],  loss: 13.163723, mae: 92.302292, mean_q: 99.492790
  16203/378151: episode: 85, duration: 3.055s, episode steps: 270, steps per second:  88, episode reward: 125.029, mean reward:  0.463 [-0.005,  0.586], mean action: 11.830 [0.000, 31.000],  loss: 16.285063, mae: 93.947083, mean_q: 101.201622
  16381/378151: episode: 86, duration: 1.951s, episode steps: 178, steps per second:  91, episode reward: 63.977, mean reward:  0.359 [-0.005,  0.463], mean action: 16.562 [0.000, 31.000],  loss: 21.525351, mae: 94.697708, mean_q: 102.141571
  16607/378151: episode: 87, duration: 2.535s, episode steps: 226, steps per second:  89, episode reward: 119.026, mean reward:  0.527 [ 0.016,  0.709], mean action: 16.146 [0.000, 31.000],  loss: 20.156555, mae: 95.859138, mean_q: 103.312645
  16693/378151: episode: 88, duration: 1.020s, episode steps:  86, steps per second:  84, episode reward: 30.750, mean reward:  0.358 [-0.005,  0.495], mean action: 16.047 [0.000, 31.000],  loss: 28.178326, mae: 96.382507, mean_q: 103.964256
  16890/378151: episode: 89, duration: 2.224s, episode steps: 197, steps per second:  89, episode reward: 94.507, mean reward:  0.480 [ 0.132,  0.674], mean action: 15.975 [0.000, 31.000],  loss: 23.465904, mae: 97.278534, mean_q: 105.054565
  16950/378151: episode: 90, duration: 0.609s, episode steps:  60, steps per second:  98, episode reward: 17.494, mean reward:  0.292 [ 0.086,  0.403], mean action: 15.200 [0.000, 28.000],  loss: 17.974035, mae: 97.980827, mean_q: 105.661461
  17217/378151: episode: 91, duration: 3.073s, episode steps: 267, steps per second:  87, episode reward: 128.415, mean reward:  0.481 [-0.005,  0.617], mean action: 15.307 [0.000, 31.000],  loss: 27.544491, mae: 98.628876, mean_q: 106.414749
  17286/378151: episode: 92, duration: 0.831s, episode steps:  69, steps per second:  83, episode reward: 24.940, mean reward:  0.361 [-0.005,  0.521], mean action: 15.406 [0.000, 31.000],  loss: 27.887739, mae: 99.267937, mean_q: 107.006462
  17371/378151: episode: 93, duration: 0.886s, episode steps:  85, steps per second:  96, episode reward: 25.265, mean reward:  0.297 [-0.005,  0.415], mean action: 13.494 [0.000, 31.000],  loss: 29.647320, mae: 99.485924, mean_q: 107.373848
  17445/378151: episode: 94, duration: 0.845s, episode steps:  74, steps per second:  88, episode reward: 32.909, mean reward:  0.445 [ 0.136,  0.528], mean action: 17.527 [0.000, 31.000],  loss: 38.834652, mae: 99.802803, mean_q: 107.619507
  17714/378151: episode: 95, duration: 3.016s, episode steps: 269, steps per second:  89, episode reward: 92.862, mean reward:  0.345 [-0.005,  0.462], mean action: 16.141 [0.000, 31.000],  loss: 30.893522, mae: 100.505493, mean_q: 108.351036
  17953/378151: episode: 96, duration: 2.742s, episode steps: 239, steps per second:  87, episode reward: 88.990, mean reward:  0.372 [-0.005,  0.497], mean action: 15.272 [0.000, 31.000],  loss: 26.075432, mae: 101.680161, mean_q: 109.541412
  18013/378151: episode: 97, duration: 0.637s, episode steps:  60, steps per second:  94, episode reward: 23.279, mean reward:  0.388 [-0.005,  0.541], mean action: 15.233 [0.000, 31.000],  loss: 22.531452, mae: 102.346413, mean_q: 110.478378
  18282/378151: episode: 98, duration: 3.036s, episode steps: 269, steps per second:  89, episode reward: 127.145, mean reward:  0.473 [ 0.086,  0.656], mean action: 15.320 [0.000, 31.000],  loss: 20.380972, mae: 103.460503, mean_q: 111.315285
  18379/378151: episode: 99, duration: 1.106s, episode steps:  97, steps per second:  88, episode reward: 33.512, mean reward:  0.345 [ 0.115,  0.498], mean action: 16.784 [0.000, 31.000],  loss: 20.209484, mae: 104.581566, mean_q: 112.416054
  18481/378151: episode: 100, duration: 1.183s, episode steps: 102, steps per second:  86, episode reward: 33.392, mean reward:  0.327 [ 0.086,  0.457], mean action: 15.147 [0.000, 31.000],  loss: 22.120491, mae: 105.077530, mean_q: 113.085045
  18600/378151: episode: 101, duration: 1.340s, episode steps: 119, steps per second:  89, episode reward: 47.236, mean reward:  0.397 [ 0.115,  0.492], mean action: 15.908 [0.000, 31.000],  loss: 29.229897, mae: 105.483498, mean_q: 113.498848
  18848/378151: episode: 102, duration: 2.753s, episode steps: 248, steps per second:  90, episode reward: 94.089, mean reward:  0.379 [-0.005,  0.596], mean action: 14.000 [0.000, 31.000],  loss: 24.687677, mae: 106.175201, mean_q: 114.383476
  19064/378151: episode: 103, duration: 2.447s, episode steps: 216, steps per second:  88, episode reward: 62.496, mean reward:  0.289 [-0.005,  0.415], mean action: 14.204 [0.000, 31.000],  loss: 26.847885, mae: 107.229378, mean_q: 115.627251
  19159/378151: episode: 104, duration: 1.081s, episode steps:  95, steps per second:  88, episode reward: 32.944, mean reward:  0.347 [-0.005,  0.469], mean action: 15.737 [0.000, 31.000],  loss: 29.700356, mae: 108.127220, mean_q: 116.633904
  19426/378151: episode: 105, duration: 2.951s, episode steps: 267, steps per second:  90, episode reward: 72.205, mean reward:  0.270 [-0.005,  0.458], mean action: 15.075 [0.000, 31.000],  loss: 26.484140, mae: 108.739494, mean_q: 117.074867
  19543/378151: episode: 106, duration: 1.322s, episode steps: 117, steps per second:  88, episode reward: 46.017, mean reward:  0.393 [-0.005,  0.576], mean action: 15.872 [0.000, 30.000],  loss: 30.202013, mae: 109.480400, mean_q: 117.883530
  19678/378151: episode: 107, duration: 1.583s, episode steps: 135, steps per second:  85, episode reward: 54.178, mean reward:  0.401 [-0.005,  0.510], mean action: 15.644 [0.000, 31.000],  loss: 36.918633, mae: 109.843910, mean_q: 118.430725
  19867/378151: episode: 108, duration: 2.088s, episode steps: 189, steps per second:  90, episode reward: 64.600, mean reward:  0.342 [-0.005,  0.503], mean action: 15.429 [0.000, 31.000],  loss: 22.567188, mae: 110.474411, mean_q: 118.912430
  19958/378151: episode: 109, duration: 1.048s, episode steps:  91, steps per second:  87, episode reward: 36.303, mean reward:  0.399 [ 0.115,  0.534], mean action: 14.451 [0.000, 31.000],  loss: 26.065880, mae: 111.282509, mean_q: 119.890724
  20227/378151: episode: 110, duration: 3.083s, episode steps: 269, steps per second:  87, episode reward: 85.979, mean reward:  0.320 [-0.005,  0.461], mean action: 14.223 [0.000, 31.000],  loss: 28.966713, mae: 111.766319, mean_q: 120.376221
  20390/378151: episode: 111, duration: 1.788s, episode steps: 163, steps per second:  91, episode reward: 67.955, mean reward:  0.417 [-0.005,  0.603], mean action: 14.245 [0.000, 31.000],  loss: 23.431047, mae: 112.804672, mean_q: 121.373466
  20498/378151: episode: 112, duration: 1.213s, episode steps: 108, steps per second:  89, episode reward: 45.908, mean reward:  0.425 [ 0.132,  0.547], mean action: 15.778 [0.000, 31.000],  loss: 22.850977, mae: 113.597755, mean_q: 122.289345
  20571/378151: episode: 113, duration: 0.865s, episode steps:  73, steps per second:  84, episode reward: 21.241, mean reward:  0.291 [ 0.095,  0.328], mean action: 10.822 [0.000, 28.000],  loss: 23.732523, mae: 114.187363, mean_q: 122.694588
  20617/378151: episode: 114, duration: 0.480s, episode steps:  46, steps per second:  96, episode reward: 14.490, mean reward:  0.315 [ 0.016,  0.397], mean action: 12.717 [0.000, 31.000],  loss: 21.559860, mae: 114.375435, mean_q: 123.177307
  20692/378151: episode: 115, duration: 0.893s, episode steps:  75, steps per second:  84, episode reward: 18.593, mean reward:  0.248 [-0.005,  0.429], mean action: 14.933 [0.000, 31.000],  loss: 40.311310, mae: 114.375885, mean_q: 123.358063
  20878/378151: episode: 116, duration: 2.145s, episode steps: 186, steps per second:  87, episode reward: 69.918, mean reward:  0.376 [-0.005,  0.535], mean action: 15.790 [0.000, 31.000],  loss: 31.235205, mae: 115.078888, mean_q: 124.023712
  21033/378151: episode: 117, duration: 1.694s, episode steps: 155, steps per second:  92, episode reward: 72.148, mean reward:  0.465 [ 0.086,  0.543], mean action: 16.787 [0.000, 31.000],  loss: 33.924751, mae: 115.943802, mean_q: 125.067352
